date,opening_balance,inflows,outflows,closing_balance,category,variance_vs_forecast,forecast_balance
2023-01-06,5000000,1139800,1237900,4901900,Operating,-98100,5000000
2023-01-13,4901900,1161400,1106100,4957200,Financing,2765,4954435
2023-01-20,4957200,1365200,1000000,5322400,Investing,18260,5304140
2023-01-27,5322400,1352800,1001800,5673400,Operating,17550,5655850
2023-02-03,5673400,1229700,1115700,5787400,Operating,5700,5781700
2023-02-10,5787400,1180700,1280800,5687300,Financing,-5005,5692305
2023-02-17,5687300,1128000,1080000,5735300,Investing,2400,5732900
2023-02-24,5735300,1487500,1113300,6109500,Operating,18710,6090790
2023-03-03,6109500,1409700,1293000,6226200,Operating,5835,6220365
2023-03-10,6226200,1477400,1326100,6377500,Financing,7565,6369935
2023-03-17,6377500,1381800,1213900,6545400,Investing,8395,6537005
2023-03-24,6545400,1208200,1124500,6629100,Operating,4185,6624915
2023-03-31,6629100,1404400,1205900,6827600,Operating,9925,6817675
2023-04-07,6827600,1248500,1305400,6770700,Financing,-2845,6773545
2023-04-14,6770700,1408600,1193600,6985700,Investing,10750,6974950
2023-04-21,6985700,1522200,1074900,7433000,Operating,22365,7410635
2023-04-28,7433000,1183200,1237900,7378300,Operating,-2735,7381035
2023-05-05,7378300,1314300,1097100,7595500,Financing,10860,7584640
2023-05-12,7595500,1162800,1133000,7625300,Investing,1490,7623810
2023-05-19,7625300,1464600,1067000,8022900,Operating,19880,8003020
2023-05-26,8022900,1351900,1275900,8098900,Operating,3800,8095100
2023-06-02,8098900,1515300,950800,8663400,Financing,28225,8635175
2023-06-09,8663400,1385300,975200,9073500,Investing,20505,9052995
2023-06-16,9073500,1514100,987100,9600500,Operating,26350,9574150
2023-06-23,9600500,1412900,1214700,9798700,Operating,9910,9788790
2023-06-30,9798700,1291000,1140700,9949000,Financing,7515,9941485
2023-07-07,9949000,1289000,1569900,9668100,Investing,-14045,9682145
2023-07-14,9668100,1198500,1133900,9732700,Operating,3230,9729470
2023-07-21,9732700,1342500,1024500,10050700,Operating,15900,10034800
2023-07-28,10050700,1468700,1052900,10466500,Financing,20790,10445710
2023-08-04,10466500,1251600,1286900,10431200,Investing,-1765,10432965
2023-08-11,10431200,1180100,1315300,10296000,Operating,-6760,10302760
2023-08-18,10296000,1147500,1056600,10386900,Operating,4545,10382355
2023-08-25,10386900,1231000,1010200,10607700,Financing,11040,10596660
2023-09-01,10607700,1301200,1355200,10553700,Investing,-2700,10556400
2023-09-08,10553700,1370000,1360500,10563200,Operating,475,10562725
2023-09-15,10563200,1340400,1195600,10708000,Operating,7240,10700760
2023-09-22,10708000,1076200,1031400,10752800,Financing,2240,10750560
2023-09-29,10752800,1403300,1218800,10937300,Investing,9225,10928075
2023-10-06,10937300,1261900,2022100,10177100,Operating,-38010,10215110
2023-10-13,10177100,1262400,1389200,10050300,Operating,-6340,10056640
2023-10-20,10050300,1179500,1359700,9870100,Financing,-9010,9879110
2023-10-27,9870100,1093000,1374300,9588800,Investing,-14065,9602865
2023-11-03,9588800,1175100,1330400,9433500,Operating,-7765,9441265
2023-11-10,9433500,1379800,1464500,9348800,Operating,-4235,9353035
2023-11-17,9348800,1351500,1497000,9203300,Financing,-7275,9210575
2023-11-24,9203300,1363900,1268600,9298600,Investing,4765,9293835
2023-12-01,9298600,1522200,1456200,9364600,Operating,3300,9361300
2023-12-08,9364600,1460600,1195800,9629400,Operating,13240,9616160
2023-12-15,9629400,1209200,1405600,9433000,Financing,-9820,9442820
2023-12-22,9433000,1226100,1405900,9253200,Investing,-8990,9262190
2023-12-29,9253200,1205300,1389800,9068700,Operating,-9225,9077925
2024-01-05,9068700,1299600,1248800,9119500,Operating,2540,9116960
2024-01-12,9119500,1592400,1949300,8762600,Financing,-17845,8780445
2024-01-19,8762600,1331800,1390500,8703900,Investing,-2935,8706835
2024-01-26,8703900,1618800,1525300,8797400,Operating,4675,8792725
2024-02-02,8797400,1274100,1332400,8739100,Operating,-2915,8742015
2024-02-09,8739100,1449500,1256000,8932600,Financing,9675,8922925
2024-02-16,8932600,1291100,1245900,8977800,Investing,2260,8975540
2024-02-23,8977800,1467600,1409300,9036100,Operating,2915,9033185
2024-03-01,9036100,1301600,1405800,8931900,Operating,-5210,8937110
2024-03-08,8931900,1389200,1376300,8944800,Financing,645,8944155
2024-03-15,8944800,1501100,1457600,8988300,Investing,2175,8986125
2024-03-22,8988300,1503600,1446200,9045700,Operating,2870,9042830
2024-03-29,9045700,1440300,1489700,8996300,Operating,-2470,8998770
2024-04-05,8996300,1611000,1181600,9425700,Financing,21470,9404230
2024-04-12,9425700,1511000,1316900,9619800,Investing,9705,9610095
2024-04-19,9619800,1438600,1248100,9810300,Operating,9525,9800775
2024-04-26,9810300,1448300,1215800,10042800,Operating,11625,10031175
2024-05-03,10042800,1457500,1402700,10097600,Financing,2740,10094860
2024-05-10,10097600,1626400,1856300,9867700,Investing,-11495,9879195
2024-05-17,9867700,1682200,1239200,10310700,Operating,22150,10288550
2024-05-24,10310700,1480300,1333200,10457800,Operating,7355,10450445
2024-05-31,10457800,1510600,1343700,10624700,Financing,8345,10616355
2024-06-07,10624700,1465900,1355000,10735600,Investing,5545,10730055
2024-06-14,10735600,1471500,1347500,10859600,Operating,6200,10853400
2024-06-21,10859600,1699100,1127600,11431100,Operating,28575,11402525
2024-06-28,11431100,1509400,1215000,11725500,Financing,14720,11710780
2024-07-05,11725500,1330200,1268400,11787300,Investing,3090,11784210
2024-07-12,11787300,1634500,1176400,12245400,Operating,22905,12222495
2024-07-19,12245400,1425600,1446700,12224300,Operating,-1055,12225355
2024-07-26,12224300,1435300,1341800,12317800,Financing,4675,12313125
2024-08-02,12317800,1506700,1438300,12386200,Investing,3420,12382780
2024-08-09,12386200,1321700,1410400,12297500,Operating,-4435,12301935
2024-08-16,12297500,1393900,1220600,12470800,Operating,8665,12462135
2024-08-23,12470800,1432100,1184600,12718300,Financing,12375,12705925
2024-08-30,12718300,1474600,1214900,12978000,Investing,12985,12965015
2024-09-06,12978000,1619300,1327300,13270000,Operating,14600,13255400
2024-09-13,13270000,1623200,1200900,13692300,Operating,21115,13671185
2024-09-20,13692300,1407700,1187800,13912200,Financing,10995,13901205
2024-09-27,13912200,1427000,1330100,14009100,Investing,4845,14004255
2024-10-04,14009100,1384900,1323700,14070300,Operating,3060,14067240
2024-10-11,14070300,1452200,1217900,14304600,Operating,11715,14292885
2024-10-18,14304600,1281000,1237800,14347800,Financing,2160,14345640
2024-10-25,14347800,1605800,1624800,14328800,Investing,-950,14329750
2024-11-01,14328800,1589600,1480200,14438200,Operating,5470,14432730
2024-11-08,14438200,1564200,1280000,14722400,Operating,14210,14708190
2024-11-15,14722400,1508500,1342100,14888800,Financing,8320,14880480
2024-11-22,14888800,1647100,1440900,15095000,Investing,10310,15084690
2024-11-29,15095000,1761500,1605700,15250800,Operating,7790,15243010
2024-12-06,15250800,1356700,1407400,15200100,Operating,-2535,15202635
2024-12-13,15200100,1636800,1727000,15109900,Financing,-4510,15114410
2024-12-20,15109900,1418600,1514500,15014000,Investing,-4795,15018795
2024-12-27,15014000,1398000,1483500,14928500,Operating,-4275,14932775
2025-01-03,14928500,1744000,1707400,14965100,Operating,1830,14963270
2025-01-10,14965100,1674700,1730200,14909600,Financing,-2775,14912375
2025-01-17,14909600,1651700,1404100,15157200,Investing,12380,15144820
2025-01-24,15157200,1511300,1557300,15111200,Operating,-2300,15113500
2025-01-31,15111200,1489400,1606800,14993800,Operating,-5870,14999670
2025-02-07,14993800,1860500,1354600,15499700,Financing,25295,15474405
2025-02-14,15499700,1900100,1320100,16079700,Investing,29000,16050700
2025-02-21,16079700,1625600,1322600,16382700,Operating,15150,16367550
2025-02-28,16382700,1836800,1729800,16489700,Operating,5350,16484350
2025-03-07,16489700,1802500,1581800,16710400,Financing,11035,16699365
2025-03-14,16710400,1538700,1744900,16504200,Investing,-10310,16514510
2025-03-21,16504200,1863100,1626100,16741200,Operating,11850,16729350
2025-03-28,16741200,1822600,1610900,16952900,Operating,10585,16942315
2025-04-04,16952900,1974600,1545100,17382400,Financing,21475,17360925
