date,delta,sigma_distance,direction,macro_tag
1978-11-01,-20.999999999999908,-3.230488811656985,down,
1979-10-22,21.999999999999886,3.3917256851513113,up,
1980-02-05,32.00000000000003,4.931775568130014,up,
1980-02-11,21.999999999999886,3.3917256851513113,up,
1980-02-15,20.999999999999908,3.2377206968534464,up,
1980-02-21,20.999999999999908,3.2377206968534464,up,
1980-02-28,-47.000000000000064,-7.23461850740158,down,
1980-03-06,24.00000000000002,3.6997356617470682,up,
1980-03-10,-25.0,-3.8465087648484713,down,
1980-03-12,27.000000000000135,4.16175062664069,up,
1980-03-13,-20.000000000000107,-3.0764838233591476,down,
1980-03-18,-19.99999999999993,-3.07648382335912,down,
1980-03-20,25.0,3.853740650044933,up,
1980-03-24,41.000000000000014,6.3178204628108245,up,
1980-04-11,-21.000000000000085,-3.230488811657012,down,
1980-04-16,-56.00000000000005,-8.62066340208239,down,
1980-04-28,-32.00000000000003,-4.924543682933552,down,
1980-05-02,-25.0,-3.8465087648484713,down,
1980-05-15,20.000000000000107,3.083715708555609,up,
1980-05-20,-20.999999999999908,-3.230488811656985,down,
1980-05-23,-25.0,-3.8465087648484713,down,
1980-06-06,-21.000000000000085,-3.230488811657012,down,
1980-07-31,29.000000000000092,4.46976060323642,up,
1980-08-08,22.000000000000064,3.391725685151339,up,
1980-09-15,20.000000000000107,3.083715708555609,up,
1980-09-22,34.999999999999964,5.3937905330236084,up,
1980-09-30,-23.000000000000043,-3.538498788252742,down,
1980-10-03,-33.00000000000001,-5.078548671231418,down,
1980-10-22,21.000000000000085,3.237720696853474,up,
1980-10-27,35.00000000000014,5.393790533023636,up,
1980-11-06,23.000000000000043,3.5457306734492033,up,
1980-11-14,21.999999999999886,3.3917256851513113,up,
1980-11-18,-31.00000000000005,-4.770538694635688,down,
1980-12-09,25.99999999999998,4.007745638342798,up,
1980-12-11,36.99999999999992,5.701800509619338,up,
1980-12-12,-34.999999999999964,-5.3865586478271466,down,
1980-12-17,-20.999999999999908,-3.230488811656985,down,
1980-12-19,-39.99999999999986,-6.156583589316471,down,
1980-12-22,-47.000000000000064,-7.23461850740158,down,
1981-01-05,-33.999999999999986,-5.232553659529282,down,
1981-01-07,22.000000000000064,3.391725685151339,up,
1981-01-09,22.000000000000064,3.391725685151339,up,
1981-01-21,22.000000000000064,3.391725685151339,up,
1981-02-05,20.999999999999908,3.2377206968534464,up,
1981-02-23,27.000000000000135,4.16175062664069,up,
1981-03-02,21.999999999999886,3.3917256851513113,up,
