bin_center,count,normal_pdf_scaled
-82.558333,3,0.000000
-79.675000,1,0.000000
-76.791667,0,0.000000
-73.908333,2,0.000000
-71.025000,0,0.000000
-68.141667,1,0.000000
-65.258333,3,0.000000
-62.375000,0,0.000000
-59.491667,2,0.000000
-56.608333,1,0.000000
-53.725000,3,0.000000
-50.841667,3,0.000001
-47.958333,3,0.000013
-45.075000,3,0.000114
-42.191667,8,0.000890
-39.308333,4,0.006047
-36.425000,11,0.035857
-33.541667,6,0.185643
-30.658333,11,0.839147
-27.775000,18,3.311721
-24.891667,34,11.411030
-22.008333,45,34.328253
-19.125000,58,90.164231
-16.241667,103,206.762877
-13.358333,194,413.967802
-10.475000,219,723.629509
-7.591667,661,1104.388012
-4.708333,1186,1471.576383
-1.825000,2493,1711.983776
1.058333,3628,1738.890320
3.941667,1668,1542.057063
6.825000,689,1193.945244
9.708333,376,807.093937
12.591667,204,476.342651
15.475000,74,245.454255
18.358333,76,110.427533
21.241667,41,43.375040
24.125000,27,14.875039
27.008333,21,4.453814
29.891667,22,1.164291
32.775000,11,0.265734
35.658333,13,0.052953
38.541667,5,0.009213
41.425000,3,0.001399
44.308333,2,0.000186
47.191667,4,0.000021
50.075000,1,0.000002
52.958333,2,0.000000
55.841667,3,0.000000
58.725000,0,0.000000
61.608333,0,0.000000
64.491667,2,0.000000
67.375000,0,0.000000
70.258333,1,0.000000
73.141667,0,0.000000
76.025000,0,0.000000
78.908333,1,0.000000
81.791667,0,0.000000
84.675000,0,0.000000
87.558333,1,0.000000
