bin_center,count,normal_pdf_scaled
-0.229110,1,0.000000
-0.220941,1,0.000000
-0.212773,0,0.000000
-0.204604,0,0.000000
-0.196436,0,0.000000
-0.188268,0,0.000000
-0.180099,0,0.000000
-0.171931,0,0.000000
-0.163762,0,0.000000
-0.155594,2,0.000000
-0.147426,0,0.000000
-0.139257,1,0.000000
-0.131089,0,0.000000
-0.122920,0,0.000000
-0.114752,0,0.000000
-0.106584,1,0.000000
-0.098415,1,0.000000
-0.090247,0,0.000001
-0.082078,4,0.000043
-0.073910,5,0.001272
-0.065742,6,0.026410
-0.057573,11,0.384531
-0.049405,23,3.925635
-0.041236,41,28.100207
-0.033068,102,141.036141
-0.024900,260,496.332323
-0.016731,731,1224.717572
-0.008563,2024,2118.949397
-0.000394,4158,2570.552440
0.007774,2130,2186.520719
0.015942,756,1304.073207
0.024111,307,545.345324
0.032279,148,159.905154
0.040448,55,32.875667
0.048616,22,4.739232
0.056784,12,0.479030
0.064953,7,0.033950
0.073121,1,0.001687
0.081290,2,0.000059
0.089458,3,0.000001
0.097627,0,0.000000
0.105795,0,0.000000
0.113963,0,0.000000
0.122132,0,0.000000
0.130300,0,0.000000
0.138469,1,0.000000
0.146637,0,0.000000
0.154805,0,0.000000
0.162974,0,0.000000
0.171142,0,0.000000
0.179311,0,0.000000
0.187479,0,0.000000
0.195647,1,0.000000
0.203816,0,0.000000
0.211984,0,0.000000
0.220153,0,0.000000
0.228321,0,0.000000
0.236489,0,0.000000
0.244658,0,0.000000
0.252826,1,0.000000
