bin_center,count,normal_pdf_scaled
-4.042637,1,0.000000
-3.906164,0,0.000000
-3.769690,1,0.000000
-3.633217,1,0.000000
-3.496743,1,0.000000
-3.360269,3,0.000000
-3.223796,2,0.000000
-3.087322,1,0.000000
-2.950849,5,0.000000
-2.814375,2,0.000000
-2.677902,6,0.000000
-2.541428,5,0.000000
-2.404955,2,0.000000
-2.268481,3,0.000000
-2.132008,15,0.000000
-1.995534,6,0.000001
-1.859061,9,0.000013
-1.722587,2,0.000186
-1.586114,3,0.002188
-1.449640,7,0.021012
-1.313167,9,0.164624
-1.176693,2,1.052424
-1.040220,12,5.489816
-0.903746,12,23.366518
-0.767273,11,81.152006
-0.630799,29,229.971247
-0.494326,37,531.761444
-0.357852,74,1003.296221
-0.221378,160,1544.580449
-0.084905,2265,1940.264406
0.051569,8008,1988.750610
0.188042,235,1663.293006
0.324516,72,1135.079350
0.460989,43,632.051855
0.597463,35,287.176054
0.733936,20,106.466448
0.870410,10,32.206708
1.006883,7,7.949667
1.143357,13,1.601108
1.279830,5,0.263124
1.416304,12,0.035283
1.552777,12,0.003861
1.689251,0,0.000345
1.825724,15,0.000025
1.962198,10,0.000001
2.098671,2,0.000000
2.235145,7,0.000000
2.371618,0,0.000000
2.508092,3,0.000000
2.644565,3,0.000000
2.781039,3,0.000000
2.917513,2,0.000000
3.053986,3,0.000000
3.190460,2,0.000000
3.326933,3,0.000000
3.463407,2,0.000000
3.599880,0,0.000000
3.736354,0,0.000000
3.872827,1,0.000000
4.009301,2,0.000000
