theoretical_quantile,sample_quantile
-3.993765,-11.754457
-3.725283,-10.500468
-3.594383,-9.246479
-3.505807,-9.089730
-3.438341,-8.619484
-3.383626,-8.462735
-3.337480,-7.992489
-3.297504,-7.835741
-3.262191,-6.895249
-3.230529,-6.738500
-3.201809,-6.738500
-3.175509,-5.954757
-3.151237,-5.954757
-3.128691,-5.954757
-3.107631,-5.798008
-3.087865,-5.641260
-3.069237,-5.641260
-3.051617,-5.484511
-3.034895,-5.327762
-3.018982,-5.327762
-3.003798,-5.171014
-2.989277,-5.171014
-2.975360,-5.171014
-2.961996,-5.171014
-2.949142,-5.014265
-2.936757,-4.857516
-2.924806,-4.857516
-2.913260,-4.857516
-2.902089,-4.700768
-2.891269,-4.700768
-2.880777,-4.700768
-2.870593,-4.700768
-2.860698,-4.544019
-2.851076,-4.544019
-2.841711,-4.387270
-2.832588,-4.387270
-2.823695,-4.387270
-2.815020,-4.387270
-2.806552,-4.230522
-2.798281,-4.230522
-2.790196,-4.230522
-2.782290,-4.230522
-2.774555,-4.230522
-2.766981,-4.230522
-2.759563,-4.230522
-2.752294,-4.230522
-2.745168,-4.230522
-2.738178,-4.073773
-2.731320,-4.073773
-2.724587,-4.073773
-2.717976,-4.073773
-2.711482,-3.917024
-2.705100,-3.917024
-2.698826,-3.917024
-2.692657,-3.917024
-2.686589,-3.917024
-2.680618,-3.917024
-2.674741,-3.917024
-2.668955,-3.917024
-2.663257,-3.917024
-2.657644,-3.917024
-2.652114,-3.760276
-2.646663,-3.760276
-2.641290,-3.760276
-2.635993,-3.760276
-2.630768,-3.760276
-2.625614,-3.760276
-2.620529,-3.603527
-2.615511,-3.603527
-2.610558,-3.603527
-2.605668,-3.603527
-2.600839,-3.603527
-2.596071,-3.603527
-2.591360,-3.603527
-2.586707,-3.603527
-2.582109,-3.603527
-2.577565,-3.603527
-2.573073,-3.603527
-2.568633,-3.603527
-2.564243,-3.446778
-2.559902,-3.446778
-2.555608,-3.446778
-2.551361,-3.446778
-2.547160,-3.446778
-2.543003,-3.446778
-2.538889,-3.446778
-2.534818,-3.446778
-2.530789,-3.290030
-2.526800,-3.290030
-2.522851,-3.290030
-2.518941,-3.290030
-2.515070,-3.290030
-2.511235,-3.290030
-2.507437,-3.290030
-2.503675,-3.290030
-2.499948,-3.290030
-2.496256,-3.290030
-2.492597,-3.290030
-2.488971,-3.290030
-2.485378,-3.290030
-2.481816,-3.133281
-2.478286,-3.133281
-2.474786,-3.133281
-2.471316,-3.133281
-2.467876,-3.133281
-2.464465,-3.133281
-2.461082,-3.133281
-2.457728,-3.133281
-2.454400,-3.133281
-2.451100,-3.133281
-2.447826,-3.133281
-2.444578,-3.133281
-2.441355,-3.133281
-2.438158,-3.133281
-2.434986,-3.133281
-2.431838,-3.133281
-2.428714,-3.133281
-2.425613,-3.133281
-2.422535,-3.133281
-2.419481,-3.133281
-2.416448,-2.976532
-2.413438,-2.976532
-2.410449,-2.976532
-2.407482,-2.976532
-2.404536,-2.976532
-2.401610,-2.976532
-2.398705,-2.976532
-2.395821,-2.976532
-2.392955,-2.976532
-2.390110,-2.976532
-2.387283,-2.976532
-2.384476,-2.976532
-2.381687,-2.976532
-2.378917,-2.976532
-2.376165,-2.976532
-2.373430,-2.976532
-2.370713,-2.976532
-2.368014,-2.976532
-2.365332,-2.976532
-2.362667,-2.976532
-2.360018,-2.976532
-2.357386,-2.976532
-2.354770,-2.976532
-2.352170,-2.819784
-2.349586,-2.819784
-2.347017,-2.819784
-2.344464,-2.819784
-2.341926,-2.819784
-2.339403,-2.819784
-2.336895,-2.819784
-2.334402,-2.819784
-2.331923,-2.819784
-2.329458,-2.819784
-2.327007,-2.819784
-2.324570,-2.819784
-2.322147,-2.819784
-2.319738,-2.819784
-2.317341,-2.819784
-2.314958,-2.819784
-2.312589,-2.819784
-2.310232,-2.819784
-2.307887,-2.819784
-2.305556,-2.819784
-2.303237,-2.663035
-2.300930,-2.663035
-2.298635,-2.663035
-2.296353,-2.663035
-2.294082,-2.663035
-2.291823,-2.663035
-2.289576,-2.663035
-2.287340,-2.663035
-2.285116,-2.663035
-2.282903,-2.663035
-2.280701,-2.663035
-2.278510,-2.663035
-2.276329,-2.663035
-2.274160,-2.663035
-2.272001,-2.663035
-2.269853,-2.663035
-2.267715,-2.663035
-2.265588,-2.663035
-2.263471,-2.663035
-2.261364,-2.663035
-2.259266,-2.663035
-2.257179,-2.663035
-2.255102,-2.663035
-2.253034,-2.663035
-2.250976,-2.663035
-2.248927,-2.663035
-2.246888,-2.663035
-2.244858,-2.663035
-2.242837,-2.663035
-2.240825,-2.663035
-2.238823,-2.663035
-2.236829,-2.663035
-2.234844,-2.663035
-2.232868,-2.663035
-2.230901,-2.663035
-2.228942,-2.663035
-2.226991,-2.506286
-2.225050,-2.506286
-2.223116,-2.506286
-2.221191,-2.506286
-2.219274,-2.506286
-2.217365,-2.506286
-2.215464,-2.506286
-2.213571,-2.506286
-2.211686,-2.506286
-2.209809,-2.506286
-2.207940,-2.506286
-2.206078,-2.506286
-2.204224,-2.506286
-2.202377,-2.506286
-2.200538,-2.506286
-2.198706,-2.506286
-2.196882,-2.506286
-2.195065,-2.506286
-2.193255,-2.506286
-2.191452,-2.506286
-2.189657,-2.506286
-2.187868,-2.506286
-2.186087,-2.506286
-2.184312,-2.506286
-2.182544,-2.506286
-2.180783,-2.506286
-2.179029,-2.506286
-2.177281,-2.506286
-2.175540,-2.506286
-2.173806,-2.506286
-2.172078,-2.506286
-2.170357,-2.506286
-2.168642,-2.506286
-2.166933,-2.506286
-2.165231,-2.506286
-2.163534,-2.506286
-2.161845,-2.506286
-2.160161,-2.506286
-2.158483,-2.506286
-2.156811,-2.506286
-2.155146,-2.349538
-2.153486,-2.349538
-2.151833,-2.349538
-2.150185,-2.349538
-2.148543,-2.349538
-2.146906,-2.349538
-2.145276,-2.349538
-2.143651,-2.349538
-2.142032,-2.349538
-2.140418,-2.349538
-2.138810,-2.349538
-2.137207,-2.349538
-2.135610,-2.349538
-2.134019,-2.349538
-2.132432,-2.349538
-2.130851,-2.349538
-2.129276,-2.349538
-2.127705,-2.349538
-2.126140,-2.349538
-2.124580,-2.349538
-2.123026,-2.349538
-2.121476,-2.349538
-2.119931,-2.349538
-2.118392,-2.349538
-2.116857,-2.349538
-2.115328,-2.349538
-2.113803,-2.349538
-2.112283,-2.349538
-2.110768,-2.349538
-2.109258,-2.349538
-2.107753,-2.349538
-2.106253,-2.349538
-2.104757,-2.349538
-2.103266,-2.349538
-2.101779,-2.349538
-2.100298,-2.349538
-2.098820,-2.349538
-2.097348,-2.349538
-2.095880,-2.349538
-2.094416,-2.349538
-2.092957,-2.349538
-2.091502,-2.349538
-2.090052,-2.349538
-2.088606,-2.349538
-2.087165,-2.349538
-2.085727,-2.349538
-2.084295,-2.349538
-2.082866,-2.349538
-2.081442,-2.192789
-2.080021,-2.192789
-2.078605,-2.192789
-2.077194,-2.192789
-2.075786,-2.192789
-2.074382,-2.192789
-2.072983,-2.192789
-2.071587,-2.192789
-2.070196,-2.192789
-2.068808,-2.192789
