theoretical_quantile,sample_quantile
-3.909628,-17.007409
-3.635617,-16.157507
-3.501762,-11.163380
-3.411076,-11.086076
-3.341941,-10.089839
-3.285830,-7.625418
-3.238476,-7.001162
-3.197431,-6.278812
-3.161154,-6.143769
-3.128613,-5.955408
-3.099083,-5.938069
-3.072030,-5.617030
-3.047054,-5.363443
-3.023845,-5.285608
-3.002159,-5.186814
-2.981800,-5.125404
-2.962606,-5.030116
-2.944445,-4.998736
-2.927206,-4.967745
-2.910795,-4.897262
-2.895133,-4.761119
-2.880150,-4.680011
-2.865787,-4.474005
-2.851993,-4.453489
-2.838720,-4.344397
-2.825929,-4.186836
-2.813585,-4.056940
-2.801655,-4.031219
-2.790111,-3.979397
-2.778927,-3.977267
-2.768081,-3.950691
-2.757550,-3.926220
-2.747317,-3.923702
-2.737364,-3.814373
-2.727674,-3.766683
-2.718234,-3.680019
-2.709031,-3.652513
-2.700051,-3.650290
-2.691284,-3.648743
-2.682718,-3.645482
-2.674346,-3.645482
-2.666156,-3.645482
-2.658142,-3.606795
-2.650295,-3.606795
-2.642608,-3.604477
-2.635074,-3.595490
-2.627686,-3.539190
-2.620439,-3.527761
-2.613327,-3.462534
-2.606345,-3.455233
-2.599488,-3.426334
-2.592751,-3.419833
-2.586130,-3.403070
-2.579620,-3.398794
-2.573217,-3.339057
-2.566918,-3.305378
-2.560720,-3.283849
-2.554618,-3.274295
-2.548610,-3.240017
-2.542693,-3.196260
-2.536863,-3.189338
-2.531119,-3.185505
-2.525456,-3.177189
-2.519874,-3.135389
-2.514369,-3.131644
-2.508939,-3.128654
-2.503582,-3.124180
-2.498296,-3.073938
-2.493079,-3.044359
-2.487929,-3.037304
-2.482844,-3.024687
-2.477822,-2.995652
-2.472862,-2.995652
-2.467962,-2.985417
-2.463121,-2.975251
-2.458337,-2.961804
-2.453608,-2.957985
-2.448934,-2.951134
-2.444313,-2.883606
-2.439743,-2.881071
-2.435223,-2.881071
-2.430753,-2.858449
-2.426331,-2.851863
-2.421956,-2.849843
-2.417626,-2.847271
-2.413342,-2.837562
-2.409101,-2.803419
-2.404903,-2.797435
-2.400748,-2.783324
-2.396633,-2.770087
-2.392558,-2.765390
-2.388523,-2.750466
-2.384526,-2.741052
-2.380567,-2.735077
-2.376645,-2.722416
-2.372759,-2.721095
-2.368909,-2.713193
-2.365094,-2.699475
-2.361312,-2.679603
-2.357564,-2.666517
-2.353849,-2.650338
-2.350166,-2.639661
-2.346515,-2.636626
-2.342895,-2.597154
-2.339305,-2.593684
-2.335745,-2.593684
-2.332215,-2.573677
-2.328713,-2.557240
-2.325239,-2.550839
-2.321794,-2.546060
-2.318376,-2.544471
-2.314984,-2.537186
-2.311619,-2.532972
-2.308280,-2.515994
-2.304967,-2.493534
-2.301679,-2.491594
-2.298415,-2.487337
-2.295176,-2.487337
-2.291960,-2.479805
-2.288768,-2.455304
-2.285600,-2.445555
-2.282454,-2.437366
-2.279330,-2.435037
-2.276229,-2.429232
-2.273149,-2.423455
-2.270091,-2.419914
-2.267054,-2.415795
-2.264037,-2.415795
-2.261041,-2.415795
-2.258065,-2.409132
-2.255110,-2.409132
-2.252173,-2.406288
-2.249256,-2.405152
-2.246358,-2.400619
-2.243479,-2.400619
-2.240618,-2.394977
-2.237775,-2.389362
-2.234951,-2.389362
-2.232144,-2.373244
-2.229354,-2.369913
-2.226582,-2.366061
-2.223827,-2.363500
-2.221088,-2.356213
-2.218366,-2.350778
-2.215661,-2.346988
-2.212971,-2.346567
-2.210298,-2.343210
-2.207640,-2.343210
-2.204998,-2.343210
-2.202371,-2.338192
-2.199759,-2.335691
-2.197162,-2.331949
-2.194580,-2.325739
-2.192012,-2.325739
-2.189459,-2.313419
-2.186920,-2.297193
-2.184395,-2.291013
-2.181883,-2.289165
-2.179386,-2.289165
-2.176902,-2.282329
-2.174431,-2.281193
-2.171974,-2.277228
-2.169529,-2.277228
-2.167098,-2.277228
-2.164679,-2.273994
-2.162273,-2.273549
-2.159879,-2.262062
-2.157498,-2.256052
-2.155128,-2.253723
-2.152771,-2.249852
-2.150426,-2.242151
-2.148092,-2.242151
-2.145771,-2.222587
-2.143460,-2.222587
-2.141161,-2.221097
-2.138873,-2.219360
-2.136597,-2.217311
-2.134331,-2.211865
-2.132077,-2.210717
-2.129833,-2.204421
-2.127599,-2.197027
-2.125377,-2.195864
-2.123165,-2.193015
-2.120963,-2.183296
-2.118771,-2.182386
-2.116590,-2.179792
-2.114418,-2.175139
-2.112257,-2.170149
-2.110105,-2.167939
-2.107963,-2.165183
-2.105830,-2.159006
-2.103708,-2.151752
-2.101594,-2.147629
-2.099490,-2.143111
-2.097395,-2.132644
-2.095310,-2.121485
-2.093233,-2.118845
-2.091166,-2.115850
-2.089107,-2.112012
-2.087057,-2.101845
-2.085016,-2.101845
-2.082984,-2.099823
-2.080960,-2.098478
-2.078944,-2.094643
-2.076937,-2.092365
-2.074938,-2.091775
-2.072948,-2.088696
-2.070966,-2.086065
-2.068992,-2.084095
-2.067026,-2.081802
-2.065067,-2.078498
-2.063117,-2.071923
-2.061175,-2.065388
-2.059240,-2.063636
-2.057313,-2.059705
-2.055394,-2.052443
-2.053482,-2.045232
-2.044033,-2.038071
-2.034764,-2.023899
-2.025666,-1.996138
-2.016733,-1.978049
-2.007957,-1.960285
-1.999334,-1.950276
-1.990857,-1.932516
-1.982521,-1.925696
-1.974320,-1.914944
-1.966250,-1.898477
-1.958306,-1.887841
-1.950484,-1.878345
-1.942779,-1.868010
-1.935188,-1.844331
-1.927706,-1.828876
-1.920331,-1.817994
-1.913060,-1.807668
-1.905887,-1.798728
-1.898812,-1.779866
-1.891830,-1.760633
-1.884940,-1.751480
-1.878137,-1.745294
-1.871421,-1.737354
-1.864788,-1.734395
-1.858236,-1.727529
-1.851763,-1.715885
-1.845366,-1.708926
-1.839044,-1.703922
-1.832795,-1.691187
-1.826617,-1.680025
-1.820507,-1.661746
-1.814465,-1.652755
-1.808488,-1.646696
-1.802575,-1.631567
-1.796725,-1.624624
-1.790935,-1.615003
-1.785205,-1.610110
-1.779532,-1.600782
-1.773917,-1.594931
-1.768357,-1.579057
-1.762851,-1.562096
-1.757398,-1.555532
-1.751996,-1.544128
-1.746646,-1.538682
-1.741344,-1.531870
-1.736092,-1.526835
-1.730887,-1.520449
-1.725728,-1.517276
-1.720615,-1.512017
-1.715546,-1.505754
-1.710521,-1.491341
-1.705539,-1.483227
-1.700599,-1.478702
-1.695700,-1.471221
-1.690842,-1.465572
-1.686023,-1.461364
-1.681242,-1.453572
-1.676500,-1.446822
-1.671796,-1.445623
-1.667128,-1.436340
-1.662496,-1.432566
-1.657899,-1.427876
-1.653338,-1.423217
-1.648810,-1.417929
-1.644316,-1.413989
-1.639855,-1.413989
-1.635426,-1.407146
-1.631030,-1.399021
-1.626664,-1.397676
-1.622329,-1.391433
-1.618025,-1.382611
-1.613750,-1.378637
-1.609505,-1.372047
-1.605288,-1.365685
-1.601100,-1.359339
-1.596940,-1.352593
-1.592807,-1.348410
-1.588701,-1.345291
-1.584622,-1.339535
-1.580569,-1.331123
-1.576541,-1.325573
-1.572540,-1.317847
-1.568563,-1.314159
-1.564611,-1.311899
-1.560683,-1.307180
-1.556779,-1.302494
-1.552898,-1.291499
-1.549041,-1.284082
-1.545207,-1.281063
-1.541396,-1.277310
-1.537606,-1.271722
-1.533839,-1.266182
-1.530093,-1.257417
-1.526369,-1.252748
-1.522665,-1.244495
-1.518983,-1.236027
-1.515321,-1.232432
-1.511679,-1.230445
-1.508057,-1.227672
-1.504454,-1.223537
-1.500872,-1.213321
-1.497308,-1.208276
-1.493763,-1.206126
-1.490237,-1.203273
-1.486729,-1.200787
-1.483240,-1.198760
-1.479768,-1.191432
-1.476314,-1.189203
-1.472878,-1.186083
-1.469459,-1.183667
-1.466057,-1.183667
-1.462672,-1.178865
-1.459304,-1.174101
-1.455952,-1.172207
-1.452617,-1.167809
-1.449297,-1.164689
-1.445994,-1.160039
-1.442706,-1.153591
-1.439434,-1.152370
-1.436177,-1.146308
-1.432935,-1.140309
-1.429708,-1.136910
-1.426496,-1.134373
-1.423298,-1.132898
-1.420116,-1.128498
-1.416947,-1.123510
-1.413793,-1.119798
-1.410652,-1.116928
-1.407526,-1.116110
-1.404413,-1.111231
-1.401313,-1.111231
-1.398228,-1.107321
-1.395155,-1.105592
-1.392095,-1.100010
-1.389049,-1.095455
-1.386015,-1.091741
-1.382994,-1.087201
-1.379986,-1.080908
-1.376990,-1.074245
-1.374006,-1.071866
-1.371034,-1.067664
-1.368075,-1.062456
-1.365128,-1.058584
-1.362192,-1.057299
-1.359268,-1.054739
-1.356355,-1.050923
-1.353454,-1.047134
-1.350565,-1.042124
-1.347686,-1.034084
-1.344819,-1.032246
-1.341963,-1.027377
-1.339117,-1.024959
-1.336283,-1.021354
-1.333459,-1.014220
-1.330646,-1.010690
-1.327843,-1.008350
-1.325051,-1.006021
-1.322269,-1.000245
-1.319497,-0.999098
-1.316735,-0.996811
-1.313983,-0.993400
-1.311241,-0.991140
-1.308509,-0.989303
-1.305787,-0.985533
-1.303074,-0.983307
-1.300371,-0.981092
-1.297677,-0.979794
-1.294993,-0.976692
-1.292318,-0.974818
-1.289652,-0.973417
-1.286996,-0.970164
-1.284348,-0.970164
-1.281710,-0.966933
-1.279080,-0.963723
-1.276459,-0.961595
-1.273847,-0.958269
-1.271243,-0.955266
-1.268648,-0.954219
-1.266062,-0.951093
-1.263484,-0.951093
-1.260915,-0.949020
-1.258353,-0.946956
-1.255800,-0.944901
-1.253255,-0.943673
-1.250719,-0.941835
-1.248190,-0.940818
-1.245669,-0.938789
-1.243156,-0.937274
-1.240651,-0.935763
-1.238154,-0.932756
-1.235664,-0.929768
-1.233182,-0.926799
-1.230708,-0.923849
-1.228241,-0.920918
-1.225781,-0.919750
-1.223329,-0.918005
-1.220884,-0.916762
-1.218447,-0.913670
-1.216017,-0.912234
-1.213594,-0.909376
-1.211178,-0.906535
-1.208769,-0.903712
-1.206367,-0.900907
-1.203972,-0.896731
-1.201584,-0.894796
-1.199202,-0.890403
-1.196828,-0.888222
-1.194460,-0.886362
-1.192099,-0.884432
-1.189745,-0.881745
-1.187397,-0.879073
-1.185055,-0.875663
-1.182720,-0.874657
-1.180392,-0.869763
-1.178070,-0.868548
-1.175754,-0.867682
-1.173445,-0.865956
-1.171142,-0.864236
-1.168845,-0.861499
-1.166554,-0.859360
-1.164269,-0.856750
-1.161990,-0.854479
-1.159718,-0.850721
-1.157451,-0.848233
-1.155190,-0.844120
-1.152935,-0.840857
-1.150686,-0.840857
-1.148443,-0.838207
-1.146206,-0.836011
-1.143974,-0.834408
-1.141748,-0.831220
-1.139527,-0.831220
-1.137313,-0.829108
-1.135103,-0.826483
-1.132900,-0.823667
-1.130701,-0.821800
-1.128509,-0.817681
-1.126321,-0.814874
-1.124139,-0.812591
-1.121963,-0.812591
-1.119791,-0.809997
-1.117625,-0.808964
-1.115464,-0.808063
-1.113309,-0.805569
-1.111158,-0.803585
-1.109013,-0.801807
-1.106873,-0.801364
-1.104737,-0.799156
-1.102607,-0.794776
-1.100482,-0.793688
-1.098362,-0.791306
-1.096246,-0.790443
-1.094136,-0.787866
-1.092030,-0.784941
-1.089930,-0.781917
-1.087834,-0.781075
-1.085743,-0.779395
-1.083656,-0.777723
-1.081574,-0.776058
-1.079497,-0.775346
-1.077425,-0.774701
-1.075357,-0.773573
-1.073294,-0.772200
-1.071235,-0.771104
-1.069181,-0.769467
-1.067132,-0.768302
-1.065087,-0.767141
-1.063046,-0.765854
-1.061010,-0.764060
-1.058978,-0.763389
-1.056950,-0.761385
-1.054927,-0.758539
-1.052908,-0.756089
-1.050894,-0.753469
-1.048883,-0.752166
-1.046877,-0.749221
-1.044875,-0.748798
-1.042878,-0.745716
-1.040884,-0.744440
-1.038895,-0.742533
-1.036909,-0.741478
-1.034928,-0.740636
-1.032951,-0.740005
-1.030978,-0.738121
-1.029008,-0.735126
-1.027043,-0.734043
-1.025082,-0.733143
-1.023125,-0.730678
-1.021171,-0.729208
-1.019222,-0.725799
-1.017276,-0.723384
-1.015335,-0.723384
-1.013397,-0.722482
-1.011462,-0.719790
-1.009532,-0.718601
-1.007605,-0.717415
-1.005683,-0.716233
-1.003763,-0.713880
-1.001848,-0.712710
-0.999936,-0.711543
-0.998028,-0.710380
-0.996123,-0.709221
-0.994222,-0.705767
-0.992325,-0.704623
-0.990431,-0.702345
-0.988541,-0.700083
-0.986654,-0.698957
-0.984771,-0.697835
-0.982891,-0.695601
-0.981015,-0.695601
-0.979142,-0.693382
-0.977273,-0.692277
-0.975407,-0.688985
-0.973544,-0.688985
-0.971685,-0.687350
-0.969829,-0.686373
-0.967977,-0.683781
-0.966127,-0.681850
-0.964282,-0.680888
-0.962439,-0.678837
-0.960600,-0.675221
-0.958763,-0.674024
-0.956931,-0.672199
-0.955101,-0.669867
-0.953274,-0.668322
-0.951451,-0.665762
-0.949631,-0.664946
-0.947814,-0.663727
-0.946000,-0.661303
-0.944189,-0.659696
-0.942381,-0.657699
-0.940577,-0.654725
-0.938775,-0.653740
-0.936977,-0.652312
-0.935181,-0.651778
-0.933389,-0.650315
-0.931599,-0.647407
-0.929813,-0.645963
-0.928029,-0.643503
-0.926248,-0.643094
-0.924471,-0.641669
-0.922696,-0.640251
-0.920924,-0.638838
-0.919155,-0.637994
-0.917389,-0.636871
-0.915626,-0.634638
-0.913865,-0.634638
-0.912108,-0.632788
-0.910353,-0.630950
-0.908601,-0.630217
-0.906852,-0.629122
-0.905105,-0.626400
-0.903362,-0.625858
-0.901621,-0.622360
-0.899883,-0.621025
-0.898147,-0.618372
-0.896414,-0.617054
-0.894684,-0.615451
-0.892957,-0.614174
-0.891232,-0.612485
-0.889510,-0.611062
-0.887791,-0.609005
-0.886074,-0.605946
-0.884360,-0.604175
-0.882648,-0.602916
-0.880939,-0.602916
-0.879232,-0.601247
-0.877528,-0.599172
-0.875827,-0.597934
-0.874128,-0.596701
-0.872432,-0.595824
-0.870738,-0.594658
-0.869047,-0.593520
-0.867358,-0.591417
-0.865671,-0.590613
-0.863988,-0.589170
-0.862306,-0.586780
-0.860627,-0.586305
-0.858950,-0.584324
-0.857276,-0.582528
-0.855604,-0.578799
-0.853935,-0.576493
-0.852268,-0.575728
-0.850603,-0.574204
-0.848941,-0.572186
-0.847281,-0.571482
-0.845623,-0.569682
-0.843968,-0.567447
-0.842315,-0.565230
-0.840664,-0.563761
-0.839016,-0.561468
-0.837369,-0.559400
-0.835726,-0.558440
-0.834084,-0.557603
-0.832445,-0.556530
-0.830807,-0.555817
-0.829172,-0.554396
-0.827540,-0.553689
-0.825909,-0.552279
-0.824281,-0.549946
-0.822655,-0.548093
-0.821031,-0.545337
-0.819409,-0.544379
-0.817789,-0.543288
-0.816172,-0.541930
-0.814556,-0.540917
-0.812943,-0.537898
-0.811332,-0.535904
-0.809723,-0.534320
-0.808116,-0.531960
-0.806511,-0.530010
-0.804908,-0.529363
-0.803308,-0.528074
-0.801709,-0.526535
-0.800112,-0.525769
-0.798518,-0.524244
-0.796925,-0.523611
-0.795335,-0.521721
-0.793746,-0.520468
-0.792159,-0.518136
-0.790575,-0.516746
-0.788992,-0.515109
-0.787412,-0.513990
-0.785833,-0.513077
-0.784256,-0.512471
-0.782682,-0.511624
-0.781109,-0.511262
-0.779538,-0.510259
-0.777969,-0.509460
-0.776402,-0.508265
-0.774837,-0.507670
-0.773274,-0.506780
-0.771713,-0.505893
-0.770153,-0.504715
-0.768595,-0.504128
-0.767040,-0.502375
-0.765486,-0.501677
-0.763934,-0.500981
-0.762384,-0.500201
-0.760835,-0.498475
-0.759289,-0.497189
-0.757744,-0.495483
-0.756201,-0.494635
-0.754660,-0.493228
-0.753121,-0.492108
-0.751583,-0.490993
-0.750047,-0.490437
-0.748513,-0.489440
-0.746981,-0.488778
-0.745451,-0.488447
-0.743922,-0.487952
-0.742395,-0.487129
-0.740870,-0.486218
-0.739346,-0.485492
-0.737824,-0.484406
-0.736304,-0.483542
-0.734786,-0.482787
-0.733269,-0.482250
-0.731754,-0.480645
-0.730241,-0.480112
-0.728729,-0.479051
-0.727219,-0.479051
-0.725710,-0.478258
-0.724204,-0.477467
-0.722699,-0.476941
-0.721195,-0.476417
-0.719693,-0.475894
-0.718193,-0.474642
-0.716695,-0.474330
-0.715198,-0.472777
-0.713702,-0.472159
-0.712208,-0.471235
-0.710716,-0.470467
-0.709226,-0.469702
-0.707737,-0.468396
-0.706249,-0.467673
-0.704763,-0.466666
-0.703279,-0.466666
-0.701796,-0.465462
-0.700315,-0.464663
-0.698835,-0.463668
-0.697357,-0.462678
-0.695880,-0.462184
-0.694405,-0.462184
-0.692931,-0.461298
-0.691459,-0.460709
-0.689988,-0.458951
-0.688519,-0.458514
-0.687051,-0.456340
-0.685585,-0.454901
-0.684121,-0.452052
-0.682657,-0.451345
-0.681195,-0.450172
-0.679735,-0.448043
-0.678276,-0.445769
-0.676819,-0.444624
-0.675363,-0.441541
-0.673908,-0.439084
-0.672455,-0.438322
-0.671003,-0.436994
-0.669553,-0.436428
-0.668104,-0.434799
-0.666656,-0.433059
-0.665210,-0.431763
-0.663765,-0.430475
-0.662322,-0.429449
-0.660880,-0.427558
-0.659439,-0.426235
-0.658000,-0.425397
-0.656562,-0.423730
-0.655126,-0.422902
-0.653691,-0.421050
-0.652257,-0.419214
-0.650824,-0.417999
-0.649393,-0.417193
-0.647963,-0.415590
-0.646535,-0.414992
-0.645108,-0.413682
-0.643682,-0.413208
-0.642257,-0.412195
-0.640834,-0.411635
-0.639412,-0.410853
-0.637991,-0.409977
-0.636572,-0.408525
-0.635154,-0.408525
-0.633737,-0.407601
-0.632321,-0.405461
-0.630907,-0.403946
-0.629494,-0.402817
-0.628082,-0.401136
-0.626672,-0.400356
-0.625262,-0.398364
-0.623854,-0.397631
-0.622448,-0.396174
-0.621042,-0.395811
-0.619638,-0.395088
-0.618234,-0.394547
-0.616833,-0.393649
-0.615432,-0.392398
-0.614032,-0.391333
-0.612634,-0.390802
-0.611237,-0.390273
-0.609841,-0.389218
-0.608446,-0.387300
-0.607053,-0.386607
-0.605660,-0.385058
-0.604269,-0.382908
-0.602879,-0.381489
-0.601490,-0.380481
-0.600103,-0.379479
-0.598716,-0.378482
-0.597331,-0.377160
-0.595947,-0.375195
-0.594563,-0.373573
-0.593181,-0.372606
-0.591801,-0.372606
-0.590421,-0.370688
-0.589042,-0.370212
-0.587665,-0.369420
-0.586289,-0.368161
-0.584913,-0.367378
-0.583539,-0.366910
-0.582166,-0.365512
