bin_center,count,normal_pdf_scaled
-74.975000,1,0.000000
-72.925000,0,0.000000
-70.875000,0,0.000000
-68.825000,0,0.000000
-66.775000,0,0.000000
-64.725000,0,0.000000
-62.675000,0,0.000000
-60.625000,0,0.000000
-58.575000,0,0.000000
-56.525000,1,0.000000
-54.475000,0,0.000000
-52.425000,0,0.000000
-50.375000,0,0.000000
-48.325000,0,0.000000
-46.275000,2,0.000000
-44.225000,0,0.000000
-42.175000,0,0.000001
-40.125000,2,0.000007
-38.075000,1,0.000048
-36.025000,3,0.000288
-33.975000,5,0.001576
-31.925000,4,0.007815
-29.875000,6,0.035070
-27.825000,6,0.142440
-25.775000,12,0.523648
-23.725000,11,1.742449
-21.675000,21,5.247991
-19.625000,31,14.306677
-17.575000,38,35.301817
-15.525000,56,78.843870
-13.475000,96,159.386448
-11.425000,140,291.640238
-9.375000,282,483.009956
-7.325000,451,724.064593
-5.275000,792,982.451519
-3.225000,1306,1206.583926
-1.175000,1717,1341.270990
0.875000,1858,1349.547319
2.925000,1492,1229.057754
4.975000,968,1013.139050
7.025000,763,755.924476
9.075000,276,510.505411
11.125000,155,312.057684
13.175000,120,172.656130
15.225000,74,86.465272
17.275000,34,39.193497
19.325000,23,16.080476
21.375000,23,5.971678
23.425000,10,2.007273
25.475000,7,0.610702
27.525000,9,0.168176
29.575000,6,0.041919
31.625000,3,0.009457
33.675000,1,0.001931
35.725000,2,0.000357
37.775000,3,0.000060
39.825000,3,0.000009
41.875000,2,0.000001
43.925000,1,0.000000
45.975000,1,0.000000
