bin_center,count,normal_pdf_scaled
-0.351082,1,0.000000
-0.339896,0,0.000000
-0.328710,0,0.000000
-0.317523,1,0.000000
-0.306337,0,0.000000
-0.295151,0,0.000000
-0.283965,0,0.000000
-0.272779,0,0.000000
-0.261593,1,0.000000
-0.250407,0,0.000000
-0.239220,2,0.000000
-0.228034,1,0.000000
-0.216848,3,0.000000
-0.205662,0,0.000000
-0.194476,2,0.000000
-0.183290,1,0.000000
-0.172104,1,0.000000
-0.160918,0,0.000000
-0.149731,3,0.000000
-0.138545,4,0.000006
-0.127359,6,0.000127
-0.116173,9,0.002219
-0.104987,11,0.029798
-0.093801,14,0.307604
-0.082615,20,2.441464
-0.071428,53,14.899339
-0.060242,91,69.910407
-0.049056,160,252.217218
-0.037870,274,699.625627
-0.026684,611,1492.157851
-0.015498,1606,2446.932038
-0.004312,5838,3085.227023
0.006875,4411,2990.958767
0.018061,1193,2229.419551
0.029247,515,1277.706973
0.040433,213,563.026459
0.051619,119,190.758731
0.062805,67,49.693333
0.073991,50,9.953364
0.085178,32,1.532850
0.096364,20,0.181505
0.107550,13,0.016525
0.118736,10,0.001157
0.129922,6,0.000062
0.141108,1,0.000003
0.152294,3,0.000000
0.163480,2,0.000000
0.174667,2,0.000000
0.185853,0,0.000000
0.197039,1,0.000000
0.208225,1,0.000000
0.219411,1,0.000000
0.230597,0,0.000000
0.241783,0,0.000000
0.252970,0,0.000000
0.264156,1,0.000000
0.275342,0,0.000000
0.286528,0,0.000000
0.297714,1,0.000000
0.308900,2,0.000000
