theoretical_quantile,sample_quantile
-4.009507,-59.952317
-3.742033,-39.295973
-3.611672,-17.141653
-3.523479,-14.375911
-3.456317,-10.815908
-3.401854,-10.669285
-3.355927,-9.134979
-3.316144,-7.201467
-3.281005,-7.123364
-3.249503,-7.110500
-3.220928,-6.997480
-3.194764,-6.973534
-3.170619,-6.796638
-3.148192,-6.649608
-3.127245,-6.563218
-3.107586,-6.310568
-3.089060,-6.257897
-3.071536,-5.782539
-3.054908,-5.677619
-3.039084,-5.588102
-3.023986,-5.436878
-3.009548,-5.293679
-2.995711,-5.246193
-2.982425,-5.017797
-2.969645,-4.914263
-2.957332,-4.802956
-2.945453,-4.652464
-2.933975,-4.624478
-2.922870,-4.624478
-2.912115,-4.615775
-2.901687,-4.510539
-2.891565,-4.357671
-2.881731,-4.355332
-2.872168,-4.337567
-2.862860,-4.323015
-2.853794,-4.298787
-2.844957,-4.246037
-2.836337,-4.049399
-2.827922,-4.046458
-2.819703,-3.975755
-2.811670,-3.938058
-2.803814,-3.780415
-2.796128,-3.768462
-2.788604,-3.754109
-2.781234,-3.739643
-2.774012,-3.734355
-2.766932,-3.732132
-2.759988,-3.661862
-2.753175,-3.659095
-2.746487,-3.585287
-2.739920,-3.572705
-2.733468,-3.551743
-2.727129,-3.539875
-2.720897,-3.497032
-2.714770,-3.497032
-2.708742,-3.491750
-2.702812,-3.466799
-2.696975,-3.460389
-2.691228,-3.444919
-2.685569,-3.424508
-2.679995,-3.354939
-2.674502,-3.321206
-2.669089,-3.315829
-2.663754,-3.298407
-2.658493,-3.288147
-2.653304,-3.251562
-2.648187,-3.236604
-2.643137,-3.236604
-2.638154,-3.233680
-2.633236,-3.230607
-2.628380,-3.208316
-2.623586,-3.180520
-2.618851,-3.176287
-2.614175,-3.162256
-2.609555,-3.153203
-2.604989,-3.122746
-2.600478,-3.111213
-2.596019,-3.093927
-2.591611,-3.091854
-2.587252,-3.074002
-2.582942,-3.074002
-2.578680,-2.985322
-2.574464,-2.984763
-2.570293,-2.982029
-2.566167,-2.918531
-2.562084,-2.916052
-2.558043,-2.914868
-2.554043,-2.911519
-2.550084,-2.897598
-2.546164,-2.896213
-2.542283,-2.853518
-2.538441,-2.836566
-2.534635,-2.836566
-2.530865,-2.790713
-2.527131,-2.757693
-2.523432,-2.756735
-2.519768,-2.745697
-2.516136,-2.738948
-2.512538,-2.727361
-2.508972,-2.705969
-2.505438,-2.697690
-2.501934,-2.633238
-2.498461,-2.633238
-2.495018,-2.612434
-2.491604,-2.608313
-2.488219,-2.601406
-2.484863,-2.593805
-2.481534,-2.566355
-2.478232,-2.548020
-2.474957,-2.525963
-2.471708,-2.507449
-2.468486,-2.505007
-2.465289,-2.502791
-2.462116,-2.475542
-2.458969,-2.457150
-2.455845,-2.457150
-2.452745,-2.457150
-2.449669,-2.457150
-2.446616,-2.439030
-2.443585,-2.437973
-2.440577,-2.417957
-2.437590,-2.398827
-2.434625,-2.394503
-2.431682,-2.393147
-2.428759,-2.389870
-2.425857,-2.372548
-2.422975,-2.366727
-2.420113,-2.352301
-2.417271,-2.352301
-2.414448,-2.352301
-2.411645,-2.347642
-2.408860,-2.332397
-2.406094,-2.325586
-2.403346,-2.319314
-2.400616,-2.316361
-2.397904,-2.310059
-2.395209,-2.310059
-2.392532,-2.303166
-2.389871,-2.292118
-2.387228,-2.287241
-2.384601,-2.274659
-2.381990,-2.274659
-2.379396,-2.272214
-2.376817,-2.271916
-2.374255,-2.256044
-2.371707,-2.241116
-2.369175,-2.229974
-2.366658,-2.223847
-2.364156,-2.210814
-2.361669,-2.210814
-2.359196,-2.210814
-2.356738,-2.199789
-2.354293,-2.197855
-2.351863,-2.173773
-2.349447,-2.153259
-2.347044,-2.140793
-2.344654,-2.122445
-2.342278,-2.117430
-2.339915,-2.112023
-2.337566,-2.108856
-2.335228,-2.099838
-2.332904,-2.098627
-2.330592,-2.087373
-2.328293,-2.080771
-2.326006,-2.077132
-2.323730,-2.069746
-2.321467,-2.069746
-2.319216,-2.062216
-2.316976,-2.057112
-2.314748,-2.053051
-2.312532,-2.030553
-2.310326,-2.012603
-2.308132,-2.002120
-2.305949,-1.999010
-2.303777,-1.992660
-2.301616,-1.991277
-2.299465,-1.985304
-2.297325,-1.969939
-2.295195,-1.963627
-2.293076,-1.959441
-2.290967,-1.957545
-2.288868,-1.956721
-2.286779,-1.945188
-2.284701,-1.938778
-2.282631,-1.938778
-2.280572,-1.928608
-2.278522,-1.924937
-2.276482,-1.910003
-2.274452,-1.888978
-2.272430,-1.885749
-2.270418,-1.878489
-2.268415,-1.872942
-2.266421,-1.872942
-2.264436,-1.870957
-2.262460,-1.863636
-2.260493,-1.860308
-2.258534,-1.854946
-2.256584,-1.851980
-2.254643,-1.850944
-2.252710,-1.850098
-2.250785,-1.844474
-2.248869,-1.841674
-2.246961,-1.841674
-2.245061,-1.841674
-2.243169,-1.837992
-2.241285,-1.833327
-2.239409,-1.817923
-2.237541,-1.817718
-2.235681,-1.814940
-2.233828,-1.796684
-2.231983,-1.791821
-2.230146,-1.784231
-2.228316,-1.778069
-2.226494,-1.778069
-2.224678,-1.772627
-2.222871,-1.771168
-2.221070,-1.768298
-2.219277,-1.766804
-2.217490,-1.753841
-2.215711,-1.753841
-2.213939,-1.748935
-2.212174,-1.737271
-2.210415,-1.734380
-2.208664,-1.721012
-2.206919,-1.720186
-2.205180,-1.715659
-2.203449,-1.712995
-2.201724,-1.701673
-2.200005,-1.697788
-2.198293,-1.693835
-2.196588,-1.689975
-2.194889,-1.683589
-2.193196,-1.674010
-2.191509,-1.667112
-2.189829,-1.667112
-2.188154,-1.658909
-2.186486,-1.657248
-2.184824,-1.655176
-2.183168,-1.652178
-2.181518,-1.648992
-2.179874,-1.645917
-2.178236,-1.636761
-2.176603,-1.631575
-2.174976,-1.628579
-2.173355,-1.627707
-2.171740,-1.627373
-2.170131,-1.623217
-2.168527,-1.622057
-2.166928,-1.621300
-2.165335,-1.613530
-2.163748,-1.613349
-2.162166,-1.611154
-2.160589,-1.601135
-2.159018,-1.601135
-2.157452,-1.601135
-2.155891,-1.601135
-2.154335,-1.601135
-2.152785,-1.583897
-2.151240,-1.581465
-2.149700,-1.575730
-2.148165,-1.573732
-2.146635,-1.568618
-2.145110,-1.568179
-2.143590,-1.567027
-2.142076,-1.555979
-2.140565,-1.548700
-2.139060,-1.543542
-2.137560,-1.537397
-2.136064,-1.531566
-2.134574,-1.529436
-2.133087,-1.527265
-2.131606,-1.518508
-2.130129,-1.518508
-2.128657,-1.517683
-2.127190,-1.516272
-2.125727,-1.516272
-2.124268,-1.515108
-2.122815,-1.504614
-2.121365,-1.504134
-2.119920,-1.502996
-2.118480,-1.499931
-2.117043,-1.499167
-2.115612,-1.494668
-2.114184,-1.492830
-2.112761,-1.489950
-2.111342,-1.488590
-2.109927,-1.483233
-2.108517,-1.482034
-2.107111,-1.480810
