theoretical_quantile,sample_quantile
-3.909628,-11.700763
-3.635617,-8.620663
-3.501762,-7.234619
-3.411076,-7.234619
-3.341941,-6.156584
-3.285830,-6.156584
-3.238476,-5.848574
-3.197431,-5.694569
-3.161154,-5.694569
-3.128613,-5.386559
-3.099083,-5.386559
-3.072030,-5.232554
-3.047054,-5.232554
-3.023845,-5.078549
-3.002159,-5.078549
-2.981800,-4.924544
-2.962606,-4.924544
-2.944445,-4.770539
-2.927206,-4.770539
-2.910795,-4.616534
-2.895133,-4.462529
-2.880150,-4.462529
-2.865787,-4.462529
-2.851993,-4.462529
-2.838720,-4.462529
-2.825929,-4.308524
-2.813585,-4.308524
-2.801655,-4.154519
-2.790111,-4.154519
-2.778927,-4.154519
-2.768081,-4.154519
-2.757550,-4.000514
-2.747317,-4.000514
-2.737364,-4.000514
-2.727674,-4.000514
-2.718234,-4.000514
-2.709031,-3.846509
-2.700051,-3.846509
-2.691284,-3.846509
-2.682718,-3.846509
-2.674346,-3.846509
-2.666156,-3.846509
-2.658142,-3.846509
-2.650295,-3.692504
-2.642608,-3.692504
-2.635074,-3.692504
-2.627686,-3.538499
-2.620439,-3.538499
-2.613327,-3.538499
-2.606345,-3.538499
-2.599488,-3.538499
-2.592751,-3.538499
-2.586130,-3.538499
-2.579620,-3.538499
-2.573217,-3.384494
-2.566918,-3.384494
-2.560720,-3.384494
-2.554618,-3.384494
-2.548610,-3.384494
-2.542693,-3.384494
-2.536863,-3.384494
-2.531119,-3.384494
-2.525456,-3.384494
-2.519874,-3.230489
-2.514369,-3.230489
-2.508939,-3.230489
-2.503582,-3.230489
-2.498296,-3.230489
-2.493079,-3.230489
-2.487929,-3.230489
-2.482844,-3.230489
-2.477822,-3.230489
-2.472862,-3.230489
-2.467962,-3.230489
-2.463121,-3.230489
-2.458337,-3.076484
-2.453608,-3.076484
-2.448934,-3.076484
-2.444313,-3.076484
-2.439743,-3.076484
-2.435223,-3.076484
-2.430753,-3.076484
-2.426331,-3.076484
-2.421956,-3.076484
-2.417626,-3.076484
-2.413342,-3.076484
-2.409101,-3.076484
-2.404903,-3.076484
-2.400748,-3.076484
-2.396633,-3.076484
-2.392558,-2.922479
-2.388523,-2.922479
-2.384526,-2.922479
-2.380567,-2.922479
-2.376645,-2.922479
-2.372759,-2.922479
-2.368909,-2.922479
-2.365094,-2.922479
-2.361312,-2.922479
-2.357564,-2.922479
-2.353849,-2.922479
-2.350166,-2.922479
-2.346515,-2.922479
-2.342895,-2.922479
-2.339305,-2.922479
-2.335745,-2.922479
-2.332215,-2.768474
-2.328713,-2.768474
-2.325239,-2.768474
-2.321794,-2.768474
-2.318376,-2.768474
-2.314984,-2.768474
-2.311619,-2.768474
-2.308280,-2.768474
-2.304967,-2.768474
-2.301679,-2.768474
-2.298415,-2.768474
-2.295176,-2.768474
-2.291960,-2.768474
-2.288768,-2.768474
-2.285600,-2.614469
-2.282454,-2.614469
-2.279330,-2.614469
-2.276229,-2.614469
-2.273149,-2.614469
-2.270091,-2.614469
-2.267054,-2.614469
-2.264037,-2.614469
-2.261041,-2.614469
-2.258065,-2.614469
-2.255110,-2.614469
-2.252173,-2.614469
-2.249256,-2.614469
-2.246358,-2.614469
-2.243479,-2.614469
-2.240618,-2.614469
-2.237775,-2.614469
-2.234951,-2.614469
-2.232144,-2.614469
-2.229354,-2.614469
-2.226582,-2.614469
-2.223827,-2.614469
-2.221088,-2.614469
-2.218366,-2.614469
-2.215661,-2.460464
-2.212971,-2.460464
-2.210298,-2.460464
-2.207640,-2.460464
-2.204998,-2.460464
-2.202371,-2.460464
-2.199759,-2.460464
-2.197162,-2.460464
-2.194580,-2.460464
-2.192012,-2.460464
-2.189459,-2.460464
-2.186920,-2.460464
-2.184395,-2.460464
-2.181883,-2.460464
-2.179386,-2.460464
-2.176902,-2.460464
-2.174431,-2.460464
-2.171974,-2.460464
-2.169529,-2.460464
-2.167098,-2.460464
-2.164679,-2.460464
-2.162273,-2.460464
-2.159879,-2.460464
-2.157498,-2.460464
-2.155128,-2.306459
-2.152771,-2.306459
-2.150426,-2.306459
-2.148092,-2.306459
-2.145771,-2.306459
-2.143460,-2.306459
-2.141161,-2.306459
-2.138873,-2.306459
-2.136597,-2.306459
-2.134331,-2.306459
-2.132077,-2.306459
-2.129833,-2.306459
-2.127599,-2.306459
-2.125377,-2.306459
-2.123165,-2.306459
-2.120963,-2.306459
-2.118771,-2.306459
-2.116590,-2.306459
-2.114418,-2.306459
-2.112257,-2.306459
-2.110105,-2.306459
-2.107963,-2.306459
-2.105830,-2.306459
-2.103708,-2.306459
-2.101594,-2.306459
-2.099490,-2.306459
-2.097395,-2.306459
-2.095310,-2.306459
-2.093233,-2.306459
-2.091166,-2.306459
-2.089107,-2.306459
-2.087057,-2.306459
-2.085016,-2.152454
-2.082984,-2.152454
-2.080960,-2.152454
-2.078944,-2.152454
-2.076937,-2.152454
-2.074938,-2.152454
-2.072948,-2.152454
-2.070966,-2.152454
-2.068992,-2.152454
-2.067026,-2.152454
-2.065067,-2.152454
-2.063117,-2.152454
-2.061175,-2.152454
-2.059240,-2.152454
-2.057313,-2.152454
-2.055394,-2.152454
-2.053482,-2.152454
-2.044033,-2.152454
-2.034764,-2.152454
-2.025666,-2.152454
-2.016733,-2.152454
-2.007957,-2.152454
-1.999334,-2.152454
-1.990857,-1.998449
-1.982521,-1.998449
-1.974320,-1.998449
-1.966250,-1.998449
-1.958306,-1.998449
-1.950484,-1.998449
-1.942779,-1.998449
-1.935188,-1.998449
-1.927706,-1.998449
-1.920331,-1.844444
-1.913060,-1.844444
-1.905887,-1.844444
-1.898812,-1.844444
-1.891830,-1.844444
-1.884940,-1.844444
-1.878137,-1.844444
-1.871421,-1.844444
-1.864788,-1.844444
-1.858236,-1.844444
-1.851763,-1.844444
-1.845366,-1.844444
-1.839044,-1.844444
-1.832795,-1.690439
-1.826617,-1.690439
-1.820507,-1.690439
-1.814465,-1.690439
-1.808488,-1.690439
-1.802575,-1.690439
-1.796725,-1.690439
-1.790935,-1.690439
-1.785205,-1.690439
-1.779532,-1.690439
-1.773917,-1.690439
-1.768357,-1.690439
-1.762851,-1.690439
-1.757398,-1.690439
-1.751996,-1.690439
-1.746646,-1.536434
-1.741344,-1.536434
-1.736092,-1.536434
-1.730887,-1.536434
-1.725728,-1.536434
-1.720615,-1.536434
-1.715546,-1.536434
-1.710521,-1.536434
