theoretical_quantile,sample_quantile
-3.906185,-14.706514
-3.631944,-12.014130
-3.497965,-11.730721
-3.407191,-11.447312
-3.337985,-10.313677
-3.281815,-9.321746
-3.234411,-9.180041
-3.193320,-9.038337
-3.157003,-8.896633
-3.124425,-8.754928
-3.094860,-8.754928
-3.067775,-8.754928
-3.042770,-8.329815
-3.019533,-8.046406
-2.997821,-7.904702
-2.977436,-7.337884
-2.958218,-7.337884
-2.940034,-7.054475
-2.922773,-6.912771
-2.906341,-6.912771
-2.890659,-6.912771
-2.875657,-6.771066
-2.861275,-6.629362
-2.847462,-6.629362
-2.834171,-6.487657
-2.821364,-6.487657
-2.809002,-6.345953
-2.797056,-6.204249
-2.785496,-6.204249
-2.774297,-6.204249
-2.763435,-6.062544
-2.752890,-6.062544
-2.742642,-6.062544
-2.732675,-5.920840
-2.722972,-5.920840
-2.713518,-5.920840
-2.704301,-5.920840
-2.695309,-5.779135
-2.686529,-5.779135
-2.677951,-5.779135
-2.669566,-5.779135
-2.661364,-5.779135
-2.653338,-5.637431
-2.645479,-5.637431
-2.637781,-5.495727
-2.630235,-5.354022
-2.622836,-5.212318
-2.615579,-5.212318
-2.608456,-5.212318
-2.601463,-5.070613
-2.594596,-5.070613
-2.587848,-5.070613
-2.581216,-4.928909
-2.574696,-4.928909
-2.568284,-4.787204
-2.561975,-4.787204
-2.555767,-4.787204
-2.549656,-4.503796
-2.543638,-4.503796
-2.537711,-4.503796
-2.531873,-4.503796
-2.526119,-4.503796
-2.520447,-4.362091
-2.514856,-4.362091
-2.509342,-4.362091
-2.503903,-4.362091
-2.498537,-4.362091
-2.493243,-4.362091
-2.488017,-4.220387
-2.482858,-4.220387
-2.477765,-4.078682
-2.472735,-4.078682
-2.467767,-4.078682
-2.462859,-4.078682
-2.458010,-3.936978
-2.453218,-3.936978
-2.448481,-3.936978
-2.443799,-3.795274
-2.439170,-3.795274
-2.434592,-3.795274
-2.430065,-3.795274
-2.425587,-3.653569
-2.421158,-3.653569
-2.416775,-3.653569
-2.412438,-3.511865
-2.408146,-3.511865
-2.403898,-3.511865
-2.399693,-3.511865
-2.395530,-3.511865
-2.391408,-3.511865
-2.387327,-3.511865
-2.383284,-3.511865
-2.379281,-3.370160
-2.375315,-3.370160
-2.371386,-3.370160
-2.367493,-3.370160
-2.363636,-3.370160
-2.359814,-3.370160
-2.356026,-3.228456
-2.352271,-3.228456
-2.348549,-3.228456
-2.344860,-3.228456
-2.341202,-3.228456
-2.337575,-3.086751
-2.333979,-3.086751
-2.330413,-3.086751
-2.326876,-3.086751
-2.323368,-3.086751
-2.319888,-3.086751
-2.316436,-2.945047
-2.313012,-2.945047
-2.309614,-2.945047
-2.306243,-2.945047
-2.302898,-2.945047
-2.299579,-2.945047
-2.296284,-2.945047
-2.293015,-2.945047
-2.289769,-2.803343
-2.286548,-2.803343
-2.283350,-2.803343
-2.280176,-2.803343
-2.277024,-2.803343
-2.273894,-2.803343
-2.270787,-2.803343
-2.267702,-2.803343
-2.264638,-2.803343
-2.261595,-2.803343
-2.258573,-2.803343
-2.255571,-2.803343
-2.252589,-2.803343
-2.249628,-2.803343
-2.246686,-2.661638
-2.243763,-2.661638
-2.240860,-2.661638
-2.237975,-2.661638
-2.235109,-2.661638
-2.232261,-2.661638
-2.229430,-2.661638
-2.226618,-2.661638
-2.223823,-2.661638
-2.221046,-2.661638
-2.218285,-2.661638
-2.215541,-2.661638
-2.212814,-2.661638
-2.210103,-2.661638
-2.207409,-2.661638
-2.204730,-2.519934
-2.202067,-2.519934
-2.199420,-2.519934
-2.196787,-2.519934
-2.194170,-2.519934
-2.191568,-2.519934
-2.188981,-2.519934
-2.186408,-2.519934
-2.183850,-2.519934
-2.181306,-2.519934
-2.178776,-2.519934
-2.176259,-2.378229
-2.173757,-2.378229
-2.171268,-2.378229
-2.168792,-2.378229
-2.166330,-2.378229
-2.163881,-2.378229
-2.161444,-2.378229
-2.159021,-2.378229
-2.156610,-2.378229
-2.154211,-2.378229
-2.151825,-2.378229
-2.149451,-2.378229
-2.147089,-2.378229
-2.144739,-2.378229
