theoretical_quantile,sample_quantile
-3.918347,-13.584350
-3.644920,-12.271435
-3.511377,-11.841665
-3.420915,-11.347525
-3.351957,-11.239169
-3.295994,-10.890997
-3.248768,-10.890997
-3.207836,-10.766281
-3.171662,-10.636673
-3.139215,-10.214238
-3.109771,-9.899278
-3.082798,-9.729775
-3.057897,-9.729775
-3.034760,-9.729775
-3.013140,-9.729775
-2.992844,-9.362222
-2.973710,-9.161883
-2.955607,-8.948610
-2.938424,-8.948610
-2.922066,-8.720618
-2.906455,-8.720618
-2.891522,-8.720618
-2.877207,-8.720618
-2.863458,-8.475722
-2.850230,-8.475722
-2.837483,-8.475722
-2.825181,-8.211215
-2.813292,-8.211215
-2.801788,-7.923679
-2.790643,-7.923679
-2.779835,-7.608719
-2.769341,-7.608719
-2.759144,-7.571796
-2.749227,-7.260547
-2.739572,-7.260547
-2.730166,-7.260547
-2.720996,-7.260547
-2.712049,-7.260547
-2.703314,-7.260547
-2.694780,-7.260547
-2.686438,-7.260547
-2.678280,-7.260547
-2.670295,-6.987286
-2.662477,-6.871324
-2.654819,-6.871324
-2.647314,-6.871324
-2.639954,-6.871324
-2.632735,-6.871324
-2.625650,-6.430059
-2.618695,-6.430059
-2.611865,-6.430059
-2.605154,-6.430059
-2.598558,-6.430059
-2.592073,-6.430059
-2.585696,-6.268828
-2.579422,-5.920656
-2.573248,-5.920656
-2.567171,-5.920656
-2.561187,-5.920656
-2.555293,-5.920656
-2.549487,-5.920656
-2.543765,-5.920656
-2.538126,-5.920656
-2.532566,-5.633121
-2.527083,-5.531433
-2.521675,-5.318161
-2.516340,-5.318161
-2.511076,-5.183261
-2.505880,-4.798729
-2.500752,-4.715665
-2.495688,-4.580765
-2.490687,-4.580765
-2.485748,-4.580765
-2.480868,-4.580765
-2.476047,-4.580765
-2.471283,-4.497101
-2.466575,-4.460586
-2.461920,-4.440124
-2.457318,-4.367493
-2.452768,-4.293230
-2.448268,-4.293230
-2.443817,-4.139501
-2.439413,-4.139501
-2.435057,-4.139501
-2.430746,-3.830437
-2.426480,-3.702729
-2.422258,-3.630098
-2.418079,-3.630098
-2.413941,-3.630098
-2.409844,-3.630098
-2.405787,-3.630098
-2.401770,-3.630098
-2.397791,-3.630098
-2.393849,-3.630098
-2.389944,-3.468867
-2.386076,-3.456132
-2.382243,-3.240875
-2.378444,-3.240875
-2.374679,-3.188833
-2.370948,-3.157210
-2.367250,-3.120695
-2.363584,-3.120695
-2.359949,-3.027602
-2.356345,-2.892703
-2.352771,-2.892703
-2.349227,-2.858099
-2.345713,-2.799610
-2.342227,-2.799610
-2.338770,-2.799610
-2.335340,-2.799610
-2.331937,-2.752061
-2.328561,-2.731472
-2.325212,-2.641749
-2.321888,-2.632365
-2.318590,-2.560908
-2.315317,-2.554714
-2.312069,-2.490546
-2.308845,-2.459710
-2.305644,-2.451438
-2.302467,-2.380749
-2.299313,-2.371805
-2.296182,-2.290207
-2.293073,-2.290207
-2.289986,-2.290207
-2.286921,-2.290207
-2.283877,-2.290207
-2.280854,-2.290207
-2.277852,-2.290207
-2.274871,-2.290207
-2.271909,-2.290207
-2.268967,-2.290207
-2.266045,-2.290207
-2.263142,-2.290207
-2.260257,-2.290207
-2.257392,-2.290207
-2.254545,-2.290207
-2.251716,-2.290207
-2.248905,-2.220634
-2.246112,-2.208608
-2.243336,-2.186930
-2.240577,-2.178177
-2.237835,-2.076934
-2.235110,-2.002671
-2.232401,-1.942035
-2.229709,-1.942035
-2.227033,-1.942035
-2.224372,-1.922653
-2.221728,-1.900984
-2.219098,-1.900984
-2.216484,-1.880265
-2.213885,-1.848942
-2.211301,-1.848942
-2.208732,-1.848942
-2.206177,-1.848942
-2.203636,-1.817319
-2.201110,-1.780804
-2.198597,-1.753150
-2.196099,-1.747255
-2.193614,-1.728762
-2.191142,-1.687711
-2.188684,-1.687711
-2.186239,-1.687711
-2.183807,-1.675888
-2.181387,-1.662193
-2.178981,-1.654499
-2.176587,-1.648603
-2.174205,-1.640162
-2.171836,-1.634410
-2.169479,-1.634410
-2.167133,-1.615758
-2.164800,-1.613448
-2.162478,-1.604046
-2.160168,-1.604046
-2.157870,-1.584435
-2.155583,-1.578006
-2.153307,-1.556820
-2.151042,-1.552812
-2.148788,-1.552812
-2.146545,-1.552812
-2.144313,-1.533982
-2.142091,-1.518208
-2.139880,-1.509042
-2.137679,-1.474439
-2.135489,-1.459719
-2.133308,-1.459719
-2.131138,-1.430081
-2.128978,-1.423204
-2.126828,-1.400175
-2.124688,-1.399083
-2.122557,-1.397011
-2.120436,-1.385120
-2.118324,-1.385120
-2.116222,-1.383309
-2.114129,-1.339539
-2.112045,-1.339539
-2.109970,-1.339539
-2.107905,-1.339539
-2.105848,-1.339539
-2.103800,-1.339539
-2.101761,-1.339539
-2.099731,-1.339539
-2.097710,-1.307916
-2.095696,-1.298488
-2.093692,-1.293320
-2.091695,-1.291296
-2.089708,-1.281049
-2.087728,-1.274100
-2.085756,-1.274100
-2.083793,-1.274100
-2.081837,-1.265276
-2.079890,-1.262685
-2.077950,-1.244846
-2.076018,-1.214823
-2.074094,-1.214823
-2.072177,-1.214823
-2.070268,-1.204640
-2.068367,-1.199836
-2.066473,-1.198898
-2.064586,-1.196873
-2.062707,-1.186458
-2.060835,-1.185810
-2.058970,-1.182489
-2.057112,-1.178308
-2.055261,-1.178308
-2.053418,-1.168279
-2.044302,-1.143945
-2.035354,-1.120613
-2.026566,-1.085215
-2.017931,-1.052003
-2.009445,-1.024579
-2.001100,-1.001551
-1.992893,-0.967847
-1.984818,-0.950316
-1.976870,-0.925928
-1.969045,-0.880743
-1.961339,-0.866651
-1.953747,-0.842665
-1.946267,-0.821485
-1.938894,-0.804716
-1.931625,-0.774810
-1.924456,-0.737043
-1.917385,-0.737043
-1.910409,-0.716955
-1.903524,-0.702799
-1.896729,-0.691462
-1.890020,-0.664412
-1.883394,-0.645061
-1.876851,-0.641252
-1.870387,-0.631005
-1.864000,-0.623885
-1.857688,-0.613967
-1.851450,-0.602144
-1.845283,-0.592294
-1.839185,-0.583579
-1.833154,-0.570821
-1.827190,-0.565221
-1.821290,-0.557530
-1.815453,-0.551691
-1.809677,-0.546604
-1.803960,-0.540374
-1.798302,-0.533985
-1.792701,-0.519080
-1.787156,-0.514734
-1.781665,-0.509051
-1.776227,-0.496267
-1.770842,-0.488901
-1.765507,-0.484111
-1.760222,-0.479413
-1.754986,-0.472536
-1.749797,-0.468800
-1.744655,-0.465853
-1.739559,-0.461502
-1.734507,-0.454429
-1.729500,-0.449508
-1.724535,-0.440913
-1.719613,-0.440913
-1.714732,-0.435090
-1.709891,-0.427704
-1.705090,-0.420800
-1.700328,-0.415629
-1.695605,-0.409590
-1.690919,-0.406880
-1.686269,-0.400695
-1.681656,-0.395682
-1.677079,-0.392178
-1.672536,-0.388871
-1.668027,-0.385373
-1.663553,-0.382423
-1.659111,-0.377726
-1.654702,-0.375573
-1.650324,-0.371340
-1.645978,-0.369490
-1.641663,-0.366128
-1.637379,-0.360506
-1.633124,-0.354049
-1.628898,-0.351948
-1.624702,-0.347820
-1.620534,-0.338877
-1.616393,-0.336712
-1.612281,-0.335997
-1.608195,-0.333018
-1.604136,-0.330382
-1.600104,-0.329112
-1.596097,-0.324951
-1.592115,-0.317802
-1.588159,-0.314608
-1.584228,-0.314608
-1.580320,-0.308712
-1.576437,-0.304903
-1.572577,-0.300271
-1.568741,-0.299033
-1.564928,-0.295779
-1.561137,-0.294178
-1.557368,-0.292651
-1.553622,-0.289588
-1.549897,-0.287184
-1.546194,-0.287184
-1.542511,-0.285113
-1.538850,-0.283071
-1.535209,-0.279865
-1.531588,-0.277507
-1.527987,-0.276150
-1.524406,-0.275189
-1.520845,-0.275189
-1.517302,-0.272909
-1.513779,-0.269560
-1.510274,-0.267110
-1.506787,-0.264156
-1.503319,-0.264156
