bin_center,count,normal_pdf_scaled
-3.211220,1,0.000000
-3.117466,0,0.000000
-3.023712,0,0.000000
-2.929959,0,0.000000
-2.836205,0,0.000000
-2.742451,0,0.000000
-2.648698,0,0.000000
-2.554944,0,0.000000
-2.461190,0,0.000000
-2.367437,0,0.000000
-2.273683,0,0.000000
-2.179929,1,0.000000
-2.086176,0,0.000000
-1.992422,0,0.000000
-1.898668,0,0.000000
-1.804915,0,0.000000
-1.711161,0,0.000000
-1.617407,0,0.000000
-1.523654,0,0.000000
-1.429900,0,0.000000
-1.336146,0,0.000000
-1.242393,0,0.000000
-1.148639,0,0.000000
-1.054885,0,0.000000
-0.961132,1,0.000000
-0.867378,0,0.000000
-0.773624,1,0.000000
-0.679871,0,0.000000
-0.586117,2,0.000000
-0.492363,1,0.000000
-0.398610,8,0.000000
-0.304856,11,0.001660
-0.211102,55,5.981979
-0.117349,273,1098.949585
-0.023595,14070,10293.653718
0.070159,1852,4916.094594
0.163912,119,119.709826
0.257666,18,0.148627
0.351420,12,0.000009
0.445173,2,0.000000
0.538927,4,0.000000
0.632681,0,0.000000
0.726434,0,0.000000
0.820188,1,0.000000
0.913942,0,0.000000
1.007695,1,0.000000
1.101449,1,0.000000
1.195203,0,0.000000
1.288956,0,0.000000
1.382710,0,0.000000
1.476464,0,0.000000
1.570217,0,0.000000
1.663971,0,0.000000
1.757725,0,0.000000
1.851478,0,0.000000
1.945232,0,0.000000
2.038986,0,0.000000
2.132739,0,0.000000
2.226493,0,0.000000
2.320247,1,0.000000
