bin_center,count,normal_pdf_scaled
-168.091667,1,0.000000
-162.275000,0,0.000000
-156.458333,0,0.000000
-150.641667,0,0.000000
-144.825000,0,0.000000
-139.008333,0,0.000000
-133.191667,0,0.000000
-127.375000,1,0.000000
-121.558333,0,0.000000
-115.741667,0,0.000000
-109.925000,0,0.000000
-104.108333,1,0.000000
-98.291667,0,0.000000
-92.475000,1,0.000000
-86.658333,1,0.000006
-80.841667,2,0.000072
-75.025000,5,0.000784
-69.208333,5,0.007140
-63.391667,12,0.054403
-57.575000,18,0.346851
-51.758333,16,1.850449
-45.941667,25,8.260758
-40.125000,55,30.858280
-34.308333,81,96.456750
-28.491667,150,252.291507
-22.675000,336,552.181342
-16.858333,646,1011.276509
-11.041667,1105,1549.769834
-5.225000,2349,1987.346438
0.591667,3600,2132.500056
6.408333,2145,1914.756776
12.225000,1040,1438.623904
18.041667,428,904.461370
23.858333,279,475.819094
29.675000,155,209.460822
35.491667,86,77.156556
41.308333,42,23.782196
47.125000,30,6.133949
52.941667,18,1.323846
58.758333,11,0.239080
64.575000,6,0.036129
70.391667,10,0.004569
76.208333,5,0.000483
82.025000,3,0.000043
87.841667,2,0.000003
93.658333,2,0.000000
99.475000,0,0.000000
105.291667,0,0.000000
111.108333,0,0.000000
116.925000,0,0.000000
122.741667,1,0.000000
128.558333,0,0.000000
134.375000,0,0.000000
140.191667,0,0.000000
146.008333,0,0.000000
151.825000,1,0.000000
157.641667,0,0.000000
163.458333,0,0.000000
169.275000,0,0.000000
175.091667,1,0.000000
