bin_center,count,normal_pdf_scaled
-168.091667,1,0.000000
-162.275000,0,0.000000
-156.458333,0,0.000000
-150.641667,0,0.000000
-144.825000,0,0.000000
-139.008333,0,0.000000
-133.191667,0,0.000000
-127.375000,0,0.000000
-121.558333,0,0.000000
-115.741667,0,0.000000
-109.925000,0,0.000000
-104.108333,1,0.000000
-98.291667,1,0.000000
-92.475000,1,0.000000
-86.658333,0,0.000000
-80.841667,2,0.000003
-75.025000,1,0.000044
-69.208333,5,0.000612
-63.391667,6,0.006911
-57.575000,7,0.063045
-51.758333,11,0.464787
-45.941667,25,2.769363
-40.125000,35,13.336119
-34.308333,54,51.904167
-28.491667,121,163.266933
-22.675000,231,415.066300
-16.858333,534,852.825047
-11.041667,951,1416.203463
-5.225000,1983,1900.704443
0.591667,3767,2061.706121
6.408333,1843,1807.432815
12.225000,836,1280.621528
18.041667,331,733.335427
23.858333,214,339.396818
29.675000,116,126.950992
35.491667,52,38.378471
41.308333,27,9.376969
47.125000,19,1.851657
52.941667,13,0.295517
58.758333,9,0.038118
64.575000,6,0.003974
70.391667,3,0.000335
76.208333,4,0.000023
82.025000,1,0.000001
87.841667,1,0.000000
93.658333,1,0.000000
99.475000,0,0.000000
105.291667,0,0.000000
111.108333,0,0.000000
116.925000,0,0.000000
122.741667,1,0.000000
128.558333,0,0.000000
134.375000,0,0.000000
140.191667,0,0.000000
146.008333,0,0.000000
151.825000,1,0.000000
157.641667,0,0.000000
163.458333,0,0.000000
169.275000,0,0.000000
175.091667,1,0.000000
