bin_center,count,normal_pdf_scaled
-3.287462,1,0.000000
-3.197977,0,0.000000
-3.108493,0,0.000000
-3.019008,0,0.000000
-2.929523,0,0.000000
-2.840038,0,0.000000
-2.750553,0,0.000000
-2.661069,0,0.000000
-2.571584,0,0.000000
-2.482099,0,0.000000
-2.392614,0,0.000000
-2.303130,0,0.000000
-2.213645,1,0.000000
-2.124160,1,0.000000
-2.034675,0,0.000000
-1.945191,0,0.000000
-1.855706,0,0.000000
-1.766221,1,0.000000
-1.676736,0,0.000000
-1.587251,0,0.000000
-1.497767,0,0.000000
-1.408282,0,0.000000
-1.318797,0,0.000000
-1.229312,0,0.000000
-1.139828,11,0.000000
-1.050343,0,0.000000
-0.960858,3,0.000000
-0.871373,2,0.000002
-0.781888,0,0.000109
-0.692404,67,0.004380
-0.602919,1,0.112039
-0.513434,11,1.829713
-0.423949,59,19.076136
-0.334465,17,126.967439
-0.244980,117,539.496766
-0.155495,161,1463.456642
-0.066010,634,2534.343061
0.023475,8980,2801.853823
0.112959,265,1977.516306
0.202444,124,891.023588
0.291929,54,256.302509
0.381414,61,47.066407
0.470898,12,5.517772
0.560383,6,0.412963
0.649868,58,0.019731
0.739353,1,0.000602
0.828837,0,0.000012
0.918322,3,0.000000
1.007807,0,0.000000
1.097292,6,0.000000
1.186777,0,0.000000
1.276261,0,0.000000
1.365746,2,0.000000
1.455231,1,0.000000
1.544716,0,0.000000
1.634200,2,0.000000
1.723685,0,0.000000
1.813170,0,0.000000
1.902655,2,0.000000
1.992140,1,0.000000
