theoretical_quantile,sample_quantile
-3.933623,-10.726153
-3.661212,-10.726153
-3.528213,-10.470610
-3.438140,-10.342838
-3.369490,-9.576210
-3.313784,-9.576210
-3.266782,-8.809581
-3.226048,-8.426266
-3.190051,-8.298495
-3.157767,-8.298495
-3.128472,-7.531866
-3.101639,-7.531866
-3.076869,-7.276323
-3.053853,-7.020780
-3.032350,-6.893009
-3.012164,-6.765237
-2.993135,-6.637466
-2.975132,-6.637466
-2.958044,-6.509695
-2.941779,-6.254152
-2.926257,-6.126380
-2.911409,-5.998609
-2.897177,-5.743066
-2.883508,-5.743066
-2.870358,-5.743066
-2.857686,-5.487523
-2.845457,-5.359751
-2.833639,-5.359751
-2.822204,-5.231980
-2.811127,-5.231980
-2.800385,-5.231980
-2.789956,-5.231980
-2.779822,-5.231980
-2.769965,-5.104208
-2.760371,-5.104208
-2.751024,-4.976437
-2.741912,-4.976437
-2.733021,-4.593123
-2.724342,-4.593123
-2.715863,-4.593123
-2.707575,-4.465351
-2.699469,-4.465351
-2.691536,-4.465351
-2.683770,-4.465351
-2.676161,-4.465351
-2.668705,-4.465351
-2.661394,-4.465351
-2.654223,-4.465351
-2.647186,-4.337580
-2.640277,-4.337580
-2.633492,-4.209808
-2.626827,-4.209808
-2.620276,-4.209808
-2.613835,-4.209808
-2.607501,-4.082037
-2.601270,-4.082037
-2.595139,-4.082037
-2.589103,-3.954265
-2.583161,-3.954265
-2.577308,-3.826494
-2.571542,-3.826494
-2.565860,-3.826494
-2.560260,-3.826494
-2.554740,-3.826494
-2.549296,-3.826494
-2.543926,-3.698722
-2.538629,-3.698722
-2.533402,-3.570951
-2.528244,-3.570951
-2.523152,-3.570951
-2.518124,-3.570951
-2.513159,-3.443179
-2.508256,-3.443179
-2.503412,-3.443179
-2.498626,-3.443179
-2.493897,-3.443179
-2.489223,-3.443179
-2.484602,-3.443179
-2.480034,-3.443179
-2.475517,-3.443179
-2.471051,-3.443179
-2.466632,-3.443179
-2.462262,-3.443179
-2.457938,-3.315408
-2.453660,-3.315408
-2.449426,-3.315408
-2.445235,-3.315408
-2.441087,-3.315408
-2.436981,-3.315408
-2.432915,-3.315408
-2.428889,-3.315408
-2.424902,-3.315408
-2.420953,-3.315408
-2.417042,-3.315408
-2.413167,-3.315408
-2.409328,-3.187637
-2.405524,-3.187637
-2.401755,-3.187637
-2.398020,-3.187637
-2.394318,-3.187637
-2.390648,-3.187637
-2.387010,-3.187637
-2.383404,-3.187637
-2.379828,-3.187637
-2.376282,-3.187637
-2.372766,-3.187637
-2.369280,-3.187637
-2.365821,-3.187637
-2.362391,-3.187637
-2.358988,-3.187637
-2.355613,-3.187637
-2.352264,-3.059865
-2.348941,-3.059865
-2.345644,-3.059865
-2.342373,-3.059865
-2.339126,-3.059865
-2.335903,-3.059865
-2.332705,-2.932094
-2.329531,-2.932094
-2.326379,-2.932094
-2.323251,-2.932094
-2.320145,-2.932094
-2.317062,-2.932094
-2.314000,-2.932094
-2.310960,-2.932094
-2.307941,-2.932094
-2.304943,-2.932094
-2.301965,-2.932094
-2.299008,-2.932094
-2.296071,-2.932094
-2.293153,-2.932094
-2.290255,-2.804322
-2.287376,-2.804322
-2.284516,-2.804322
-2.281674,-2.804322
-2.278851,-2.804322
-2.276046,-2.804322
-2.273258,-2.804322
-2.270488,-2.804322
-2.267736,-2.804322
-2.265000,-2.804322
-2.262281,-2.804322
-2.259579,-2.804322
-2.256894,-2.804322
-2.254224,-2.804322
-2.251571,-2.804322
-2.248933,-2.804322
