theoretical_quantile,sample_quantile
-3.906185,-24.936654
-3.631944,-16.844553
-3.497965,-15.558020
-3.407191,-13.404328
-3.337985,-8.215179
-3.281815,-8.215179
-3.234411,-8.215179
-3.193320,-8.215179
-3.157003,-8.215179
-3.124425,-8.215179
-3.094860,-8.215179
-3.067775,-8.215179
-3.042770,-8.215179
-3.019533,-8.215179
-2.997821,-8.215179
-2.977436,-7.333412
-2.958218,-6.850254
-2.940034,-6.850254
-2.922773,-6.544646
-2.906341,-6.333748
-2.890659,-5.179721
-2.875657,-5.179721
-2.861275,-5.179721
-2.847462,-5.179721
-2.834171,-5.179721
-2.821364,-5.179721
-2.809002,-5.179721
-2.797056,-5.179721
-2.785496,-5.179721
-2.774297,-5.179721
-2.763435,-5.179721
-2.752890,-5.179721
-2.742642,-5.179721
-2.732675,-5.179721
-2.722972,-5.179721
-2.713518,-5.179721
-2.704301,-5.179721
-2.695309,-5.179721
-2.686529,-5.179721
-2.677951,-5.179721
-2.669566,-5.179721
-2.661364,-5.179721
-2.653338,-5.179721
-2.645479,-5.179721
-2.637781,-5.179721
-2.630235,-5.179721
-2.622836,-5.179721
-2.615579,-5.179721
-2.608456,-5.179721
-2.601463,-5.179721
-2.594596,-5.179721
-2.587848,-5.179721
-2.581216,-5.179721
-2.574696,-5.179721
-2.568284,-5.179721
-2.561975,-5.179721
-2.555767,-5.179721
-2.549656,-5.179721
-2.543638,-5.179721
-2.537711,-5.179721
-2.531873,-5.179721
-2.526119,-5.179721
-2.520447,-5.179721
-2.514856,-5.179721
-2.509342,-5.179721
-2.503903,-5.179721
-2.498537,-5.179721
-2.493243,-5.179721
-2.488017,-5.179721
-2.482858,-5.179721
-2.477765,-5.179721
-2.472735,-5.179721
-2.467767,-5.179721
-2.462859,-5.179721
-2.458010,-5.179721
-2.453218,-5.179721
-2.448481,-5.179721
-2.443799,-5.179721
-2.439170,-5.179721
-2.434592,-5.179721
-2.430065,-5.179721
-2.425587,-5.179721
-2.421158,-5.179721
-2.416775,-5.179721
-2.412438,-5.179721
-2.408146,-5.179721
-2.403898,-5.179721
-2.399693,-4.180057
-2.395530,-4.025693
-2.391408,-3.814796
-2.387327,-3.814796
-2.383284,-3.814796
-2.379281,-3.814796
-2.375315,-3.814796
-2.371386,-3.814796
-2.367493,-3.814796
-2.363636,-3.814796
-2.359814,-3.660433
-2.356026,-3.509188
-2.352271,-3.249519
-2.348549,-3.086648
-2.344860,-3.066827
-2.341202,-3.026029
-2.337575,-3.026029
-2.333979,-3.026029
-2.330413,-3.026029
