theoretical_quantile,sample_quantile
-3.993765,-16.344628
-3.725283,-14.373139
-3.594383,-11.976558
-3.505807,-11.163410
-3.438341,-10.924587
-3.383626,-10.621678
-3.337480,-10.121774
-3.297504,-10.000770
-3.262191,-9.682505
-3.230529,-9.103286
-3.201809,-8.814612
-3.175509,-8.238126
-3.151237,-7.654296
-3.128691,-6.717044
-3.107631,-6.697751
-3.087865,-6.609166
-3.069237,-6.556518
-3.051617,-6.272520
-3.034895,-6.257463
-3.018982,-6.117949
-3.003798,-6.060047
-2.989277,-5.834171
-2.975360,-5.794974
-2.961996,-5.734432
-2.949142,-5.715576
-2.936757,-5.584416
-2.924806,-5.544856
-2.913260,-5.541463
-2.902089,-5.467867
-2.891269,-5.433906
-2.880777,-5.396202
-2.870593,-5.167622
-2.860698,-5.167622
-2.851076,-5.167622
-2.841711,-5.136541
-2.832588,-5.031020
-2.823695,-5.002808
-2.815020,-4.942756
-2.806552,-4.852473
-2.798281,-4.709964
-2.790196,-4.702844
-2.782290,-4.702844
-2.774555,-4.662905
-2.766981,-4.631439
-2.759563,-4.610697
-2.752294,-4.602769
-2.745168,-4.509713
-2.738178,-4.509713
-2.731320,-4.426612
-2.724587,-4.366270
-2.717976,-4.366270
-2.711482,-4.284503
-2.705100,-4.231673
-2.698826,-4.231673
-2.692657,-4.205744
-2.686589,-4.197622
-2.680618,-4.182090
-2.674741,-4.167441
-2.668955,-4.167441
-2.663257,-4.080723
-2.657644,-4.031742
-2.652114,-3.954620
-2.646663,-3.923793
-2.641290,-3.910246
-2.635993,-3.851733
-2.630768,-3.837377
-2.625614,-3.819583
-2.620529,-3.796945
-2.615511,-3.788780
-2.610558,-3.767176
-2.605668,-3.726274
-2.600839,-3.716187
-2.596071,-3.666561
-2.591360,-3.666561
-2.586707,-3.627804
-2.582109,-3.602418
-2.577565,-3.584502
-2.573073,-3.568280
-2.568633,-3.552697
-2.564243,-3.535804
-2.559902,-3.525328
-2.555608,-3.525328
-2.551361,-3.525328
-2.547160,-3.480637
-2.543003,-3.464666
-2.538889,-3.445693
-2.534818,-3.422783
-2.530789,-3.421287
-2.526800,-3.394572
-2.522851,-3.394572
-2.518941,-3.394572
-2.515070,-3.394572
-2.511235,-3.394572
-2.507437,-3.394572
-2.503675,-3.358975
-2.499948,-3.301279
-2.496256,-3.296749
-2.492597,-3.286226
-2.488971,-3.273167
-2.485378,-3.273167
-2.481816,-3.273167
-2.478286,-3.273167
-2.474786,-3.269136
-2.471316,-3.265382
-2.467876,-3.249921
-2.464465,-3.234606
-2.461082,-3.194985
-2.457728,-3.191634
-2.454400,-3.184582
-2.451100,-3.182122
-2.447826,-3.180111
-2.444578,-3.160146
-2.441355,-3.160146
-2.438158,-3.160146
-2.434986,-3.160146
-2.431838,-3.160146
-2.428714,-3.160146
-2.425613,-3.160146
-2.422535,-3.160146
-2.419481,-3.160146
-2.416448,-3.160146
-2.413438,-3.140430
-2.410449,-3.137340
-2.407482,-3.133100
-2.404536,-3.124187
-2.401610,-3.094393
-2.398705,-3.089037
-2.395821,-3.078380
